计划出库日期,销售订单,送货站点名称,最早收货时间,最晚收货时间,经度,纬度,方量,线路名称,配送顺序,预计送达时间,预计离开时间,距离,行驶时间,线路单边里程,线路时间(单边),线路方量,最晚离仓时间,车型
2025-06-30,OM25062900004258,烤匠巴南万达广场店-员工餐,2025-06-30 08:30:00,2025-06-30 09:00:00,106.551076,29.405264,9.454,V003线,5,2025-06-30 08:42:00,2025-06-30 09:02:00,28.177,22.4,,,,,小型面包车
2025-06-30,OM25062700007073,新大正物业集团股份有限公司-干副,2025-06-30 06:00:00,2025-06-30 06:25:00,106.55654,29.562133,894.885,V004线,1,2025-06-30 06:00:00,2025-06-30 06:37:00,30.712,28.0,67.203,151.81,1237.644,2025-06-30 05:32:00,小型面包车
2025-06-30,OM25062900002397,重庆市食品药品检验检测研究院-白案,2025-06-30 06:50:00,2025-06-30 07:00:00,106.521924,29.624062,211.05,V004线,2,2025-06-30 06:55:00,2025-06-30 07:18:00,11.415,17.5,,,,,小型面包车
2025-06-30,OM25062900007097,252513-巴南站点,2025-06-30 07:40:00,2025-06-30 08:00:00,106.566114,29.488635,131.709,V004线,3,2025-06-30 07:42:00,2025-06-30 08:04:00,25.076,23.8,,,,,小型面包车
2025-06-30,OM25062900002980,巴南人保,2025-06-30 06:30:00,2025-06-30 07:00:00,106.527503,29.38604,137.0227,V005线,1,2025-06-30 06:30:00,2025-06-30 06:52:00,49.2,38.5,155.313,233.62,1609.703,2025-06-30 05:52:00,小型面包车
2025-06-30,OM25062900002518,中信银行-巴南支行（日配）,2025-06-30 06:40:00,2025-06-30 07:00:00,106.533595,29.384211,99.792,V005线,2,2025-06-30 06:58:00,2025-06-30 07:19:00,2.276,5.6,,,,,小型面包车
2025-06-30,OM25062900002406,招待所餐厅,2025-06-30 07:50:00,2025-06-30 08:20:00,106.324651,29.635466,35.5,V005线,3,2025-06-30 07:59:00,2025-06-30 08:20:00,50.035,39.9,,,,,小型面包车
2025-06-30,OM25062700006006,重庆顺泰铁塔制造有限公司-蔬菜,2025-06-30 08:40:00,2025-06-30 09:00:00,106.641637,29.612773,1337.388,V005线,4,2025-06-30 08:57:00,2025-06-30 09:45:00,53.802,37.1,,,,,小型面包车
2025-06-30,OM25062900002507,耐德-龙兴,2025-06-30 05:00:00,2025-06-30 05:30:00,106.772502,29.681089,256.8,V006线,1,2025-06-30 05:00:00,2025-06-30 05:24:00,54.222,39.2,223.111,332.06,990.727,2025-06-30 04:21:00,小型面包车
2025-06-30,OW25062600000205,重庆市渝中区锦程小金星幼儿园-学生,2025-06-30 05:40:00,2025-06-30 06:00:00,106.51192,29.545792,318.3727,V006线,2,2025-06-30 05:59:00,2025-06-30 06:24:00,44.227,35.0,,,,,小型面包车
2025-06-30,OM25062900005810,中国人民解放军32605部队-八公里车材站点,2025-06-30 06:30:00,2025-06-30 06:50:00,106.565944,29.48888,224.7579,V006线,3,2025-06-30 06:45:00,2025-06-30 07:09:00,11.719,21.7,,,,,小型面包车
2025-06-30,OM25062700001801,九龙坡铁路幼儿园,2025-06-30 08:00:00,2025-06-30 08:01:00,106.545594,29.500913,34.47,V006线,4,2025-06-30 08:00:00,2025-06-30 08:21:00,13.971,21.0,,,,,小型面包车
2025-06-30,OM25062900005597,重庆市应能应急救援有限公司永川队,2025-06-30 07:00:00,2025-06-30 10:00:00,105.724175,29.34498,156.326,V006线,5,2025-06-30 09:31:00,2025-06-30 09:53:00,98.972,70.0,,,,,小型面包车
2025-06-30,OM25062900000226,十八中观音桥面食-一楼三组,2025-06-30 04:50:00,2025-06-30 05:10:00,106.548222,29.581026,65.2,V007线,1,2025-06-30 04:50:00,2025-06-30 05:11:00,28.399,26.6,64.587,175.31,777.327,2025-06-30 04:23:00,小型面包车
2025-06-30,OM25062700007492,重庆市巴南区人民政府惠民街道办事处,2025-06-30 06:20:00,2025-06-30 06:30:00,106.714731,29.464225,672.417,V007线,2,2025-06-30 06:20:00,2025-06-30 06:52:00,29.723,21.0,,,,,小型面包车
2025-06-30,OM25062900003430,中铁一局-客机所,2025-06-30 06:30:00,2025-06-30 07:00:00,106.713794,29.5046,39.71,V007线,3,2025-06-30 06:58:00,2025-06-30 07:19:00,6.465,6.3,,,,,小型面包车
2025-06-30,OM25062900004328,重庆市环境卫生事务中心,2025-06-30 06:00:00,2025-06-30 06:30:00,106.51557,29.585954,160.915,V008线,1,2025-06-30 06:00:00,2025-06-30 06:22:00,24.682,24.5,59.368,207.17,406.974,2025-06-30 05:36:00,小型面包车
2025-06-30,OM25062700006533,两江新区北大资源凯思幼儿园-老师,2025-06-30 06:20:00,2025-06-30 06:45:00,106.538812,29.657252,56.602,V008线,2,2025-06-30 06:41:00,2025-06-30 07:02:00,12.118,18.9,,,,,小型面包车
2025-06-30,OM25062900004726,厦门银行重庆分行-办公室,2025-06-30 06:25:00,2025-06-30 07:30:00,106.575313,29.577264,11.558,V008线,3,2025-06-30 07:26:00,2025-06-30 07:46:00,14.869,23.8,,,,,小型面包车
2025-06-30,OM25062900006023,烤匠来福士,2025-06-30 08:40:00,2025-06-30 09:00:00,106.594307,29.570101,177.899,V008线,4,2025-06-30 08:40:00,2025-06-30 09:03:00,7.699,13.3,,,,,小型面包车
2025-06-30,OM25062900003087,渝北区消防救援支队-龙溪站点,2025-06-30 06:00:00,2025-06-30 06:30:00,106.530134,29.594603,72.4702,V009线,1,2025-06-30 06:00:00,2025-06-30 06:21:00,25.447,21.0,51.876,201.18,223.009,2025-06-30 05:39:00,小型面包车
2025-06-30,OM25062900004704,重庆市房地产交易事务中心,2025-06-30 06:50:00,2025-06-30 07:00:00,106.539747,29.5637,51.1235,V009线,2,2025-06-30 06:50:00,2025-06-30 07:11:00,8.309,14.0,,,,,小型面包车
2025-06-30,OM25062900003780,沙磁幼儿园-老师,2025-06-30 08:00:00,2025-06-30 08:01:00,106.462866,29.58494,87.165,V009线,3,2025-06-30 08:00:00,2025-06-30 08:21:00,10.756,11.2,,,,,小型面包车
2025-06-30,OM25062900006017,烤匠金沙天街,2025-06-30 08:40:00,2025-06-30 09:00:00,106.465319,29.560707,12.25,V009线,4,2025-06-30 08:40:00,2025-06-30 09:00:00,7.364,9.1,,,,,小型面包车
2025-06-30,OW25062900001121,重庆皓春健康产业有限公司,2025-06-30 05:50:00,2025-06-30 06:10:00,106.498125,29.534557,368.6915,V010线,1,2025-06-30 05:50:00,2025-06-30 06:16:00,30.999,27.3,57.476,220.17,1201.897,2025-06-30 05:23:00,小型面包车
2025-06-30,OM25062700007409,中国铁路成都局集团有限公司重庆建设指挥部,2025-06-30 06:30:00,2025-06-30 06:50:00,106.448115,29.518068,641.7754,V010线,2,2025-06-30 06:30:00,2025-06-30 07:01:00,8.932,12.6,,,,,小型面包车
2025-06-30,OM25062900005334,烤匠南坪协信星光店,2025-06-30 08:40:00,2025-06-30 09:00:00,106.57777,29.529062,191.43,V010线,3,2025-06-30 08:40:00,2025-06-30 09:03:00,17.545,20.3,,,,,小型面包车
2025-06-30,OW25062900001185,渝北区交巡警-两路大队,2025-06-30 05:30:00,2025-06-30 06:00:00,106.63687,29.726257,21.9561,V011线,1,2025-06-30 05:30:00,2025-06-30 05:50:00,34.134,34.3,74.145,244.43,586.136,2025-06-30 04:56:00,小型面包车
2025-06-30,OW25062900000189,渝北区交巡警-两路大队,2025-06-30 05:30:00,2025-06-30 06:00:00,106.63687,29.726257,111.884,V011线,2,2025-06-30 05:50:00,2025-06-30 06:12:00,0.0,0.0,,,,,小型面包车
2025-06-30,OM25062900001861,渝北区消防救援支队-空港新城站点,2025-06-30 06:00:00,2025-06-30 06:30:00,106.605248,29.715429,335.9325,V011线,3,2025-06-30 06:21:00,2025-06-30 06:46:00,5.818,9.1,,,,,小型面包车
2025-06-30,OM25062900003042,中信银行-两江支行（日配）,2025-06-30 06:50:00,2025-06-30 07:10:00,106.572532,29.652119,107.963,V011线,4,2025-06-30 07:05:00,2025-06-30 07:27:00,12.919,18.9,,,,,小型面包车
2025-06-30,OM25062900006020,烤匠大悦城,2025-06-30 08:40:00,2025-06-30 09:00:00,106.57822,29.727912,8.4,V011线,5,2025-06-30 08:40:00,2025-06-30 09:00:00,21.274,28.0,,,,,小型面包车
2025-06-30,OM25062700007719,西南大学-南区老师,2025-06-30 06:30:00,2025-06-30 07:00:00,106.424981,29.816815,109.89,V012线,1,2025-06-30 06:30:00,2025-06-30 06:52:00,21.184,17.5,60.582,120.58,445.539,2025-06-30 06:12:00,小型面包车
2025-06-30,OM25062900000358,重庆中兴软件有限责任公司,2025-06-30 07:00:00,2025-06-30 07:30:00,106.518746,29.625885,67.325,V012线,2,2025-06-30 07:17:00,2025-06-30 07:38:00,33.516,25.2,,,,,小型面包车
2025-06-30,OM25062900003863,重庆万泰建设（集团）有限公司,2025-06-30 07:45:00,2025-06-30 08:05:00,106.538349,29.654665,268.324,V012线,3,2025-06-30 07:49:00,2025-06-30 08:13:00,5.882,11.2,,,,,小型面包车
2025-06-30,OM25062700001717,重庆市巴南区人民政府鱼洞街道办事处,2025-06-30 05:55:00,2025-06-30 06:15:00,106.524153,29.385368,421.192,V013线,1,2025-06-30 05:55:00,2025-06-30 06:21:00,49.282,38.5,192.673,224.04,1056.819,2025-06-30 05:16:00,小型面包车
2025-06-30,OM25062900002442,重庆建工第三建设有限责任公司高新建材分公司,2025-06-30 06:00:00,2025-06-30 07:05:00,106.694554,28.973976,599.7524,V013线,2,2025-06-30 07:02:00,2025-06-30 07:32:00,56.581,40.6,,,,,小型面包车
2025-06-30,OM25062900004937,烤匠龙湖北城天街,2025-06-30 08:40:00,2025-06-30 09:00:00,106.539845,29.583886,35.875,V013线,3,2025-06-30 08:40:00,2025-06-30 09:01:00,86.81,59.5,,,,,小型面包车
2025-06-30,OM25062900002906,上海浦东发展银行股份有限公司重庆分行,2025-06-30 06:20:00,2025-06-30 06:30:00,106.517299,29.622034,11.102,V014线,1,2025-06-30 06:20:00,2025-06-30 06:40:00,20.536,25.2,55.734,139.93,335.615,2025-06-30 05:55:00,小型面包车
2025-06-30,OM25062900000376,重庆两江新区上林幼儿园-老师,2025-06-30 06:40:00,2025-06-30 07:00:00,106.564655,29.639156,99.274,V014线,2,2025-06-30 07:00:00,2025-06-30 07:21:00,10.262,19.6,,,,,小型面包车
2025-06-30,OM25062900003772,通远航务东区干副,2025-06-30 06:30:00,2025-06-30 08:30:00,106.658675,29.698841,225.239,V014线,3,2025-06-30 07:51:00,2025-06-30 08:15:00,24.936,30.1,,,,,小型面包车
2025-06-30,OM25062900003572,家属区食堂,2025-06-30 05:00:00,2025-06-30 05:35:00,106.454885,29.546363,675.005,V022线,1,2025-06-30 05:00:00,2025-06-30 05:32:00,26.105,19.6,73.384,304.85,3184.077,2025-06-30 04:40:00,大型面包车
2025-06-30,OM25062900006039,重庆市凤鸣山中学-1楼,2025-06-30 06:00:00,2025-06-30 06:01:00,106.455654,29.535218,31.208,V022线,2,2025-06-30 06:00:00,2025-06-30 06:20:00,3.585,7.0,,,,,大型面包车
2025-06-30,OM25062900005405,重庆市沙坪坝区医疗保障局,2025-06-30 06:30:00,2025-06-30 07:00:00,106.453372,29.546518,235.447,V022线,3,2025-06-30 06:30:00,2025-06-30 06:54:00,1.648,4.9,,,,,大型面包车
2025-06-30,OM25062700006442,中信银行股份有限公司重庆分行（日配）,2025-06-30 07:00:00,2025-06-30 07:15:00,106.577057,29.578312,1339.267,V022线,4,2025-06-30 07:15:00,2025-06-30 08:03:00,23.045,21.0,,,,,大型面包车
2025-06-30,OM25062900005848,烤匠金沙天街,2025-06-30 08:40:00,2025-06-30 09:00:00,106.465319,29.560707,3.15,V022线,5,2025-06-30 08:40:00,2025-06-30 09:00:00,13.65,18.2,,,,,大型面包车
2025-06-30,OM25062800005374,快乐食间-老重大,2025-06-30 09:00:00,2025-06-30 09:30:00,106.465902,29.573581,900.0,V022线,6,2025-06-30 09:08:00,2025-06-30 09:45:00,5.351,7.7,,,,,大型面包车
2025-06-30,OM25063000002185,重庆市钱大妈供应链管理有限公司,2025-06-30 15:34:00,2025-06-30 16:34:00,106.38609,29.680634,541.098,V015线,1,2025-06-30 15:34:00,2025-06-30 16:03:00,0.932,2.1,44.239,93.82,1292.844,2025-06-30 15:32:00,小型面包车
2025-06-30,OM25063000000175,重庆客百年农产品经营有限公司,2025-06-30 16:00:00,2025-06-30 18:00:00,106.278841,29.390591,751.746,V015线,2,2025-06-30 16:32:00,2025-06-30 17:06:00,43.307,29.4,,,,,小型面包车
2025-06-30,OM25062700004040,保税港港欣8号餐厅—果园西区,2025-06-30 06:10:00,2025-06-30 06:30:00,106.744944,29.609495,734.3445,V016线,1,2025-06-30 06:10:00,2025-06-30 06:43:00,48.733,34.3,53.322,107.9,1435.801,2025-06-30 05:36:00,小型面包车
2025-06-30,OM25062700003786,重庆市江北区鱼嘴镇人民政府,2025-06-30 06:40:00,2025-06-30 07:00:00,106.767814,29.628511,701.456,V016线,2,2025-06-30 06:51:00,2025-06-30 07:24:00,4.589,7.7,,,,,小型面包车
2025-06-30,OM25062900006047,中国人民解放军32605部队-保障四队2号食堂 六公里站点,2025-06-30 06:20:00,2025-06-30 06:40:00,106.580008,29.505844,40.296,V017线,1,2025-06-30 06:20:00,2025-06-30 06:41:00,42.637,35.0,141.677,216.34,965.02,2025-06-30 05:45:00,小型面包车
2025-06-30,OM25062900003788,中建五局—童家院子上盖项目部,2025-06-30 07:00:00,2025-06-30 07:20:00,106.577054,29.641633,180.493,V017线,2,2025-06-30 07:04:00,2025-06-30 07:26:00,22.196,23.1,,,,,小型面包车
2025-06-30,OW25062900001092,重庆嘉威啤酒有限公司,2025-06-30 07:45:00,2025-06-30 08:25:00,106.49045,29.455114,654.6515,V017线,3,2025-06-30 07:52:00,2025-06-30 08:24:00,33.744,25.9,,,,,小型面包车
2025-06-30,OM25062800004938,铁山坪三楼食堂-调味品类,2025-06-30 09:00:00,2025-06-30 09:30:00,106.682204,29.624552,89.58,V017线,4,2025-06-30 09:00:00,2025-06-30 09:21:00,43.1,28.0,,,,,小型面包车
2025-06-30,OM25062900006049,重庆市生态环境监测中心-用品,2025-06-30 06:00:00,2025-06-30 06:20:00,106.498872,29.597912,96.9,V018线,1,2025-06-30 06:00:00,2025-06-30 06:21:00,21.805,19.6,58.627,160.24,185.336,2025-06-30 05:40:00,小型面包车
2025-06-30,OM25062900004953,中国人民解放军32605部队-保障四队3号食堂 六公里站点,2025-06-30 06:30:00,2025-06-30 06:50:00,106.583895,29.494683,21.908,V018线,2,2025-06-30 06:47:00,2025-06-30 07:08:00,21.793,25.9,,,,,小型面包车
2025-06-30,OM25062900003086,厦门银行股份有限公司重庆分行,2025-06-30 06:25:00,2025-06-30 07:30:00,106.575313,29.577264,24.06,V018线,3,2025-06-30 07:24:00,2025-06-30 07:44:00,11.64,16.1,,,,,小型面包车
2025-06-30,OM25062900003757,重庆曾家岩大桥建设管理有限公司_干副,2025-06-30 08:00:00,2025-06-30 08:30:00,106.555505,29.571809,42.468,V018线,4,2025-06-30 08:00:00,2025-06-30 08:21:00,3.389,6.3,,,,,小型面包车
2025-06-30,OM25062900005250,重庆市巴渝学校,2025-06-30 05:10:00,2025-06-30 05:30:00,106.473143,29.49352,23.625,V019线,1,2025-06-30 05:10:00,2025-06-30 05:30:00,31.835,25.9,215.777,300.61,595.875,2025-06-30 04:44:00,小型面包车
2025-06-30,OW25062700001101,铝都实验幼儿园-教师,2025-06-30 06:00:00,2025-06-30 06:30:00,106.335525,29.306186,14.112,V019线,2,2025-06-30 06:02:00,2025-06-30 06:22:00,31.691,31.5,,,,,小型面包车
2025-06-30,OM25062900002011,重庆九龙坡区铝都实验幼儿园,2025-06-30 06:00:00,2025-06-30 06:30:00,106.335525,29.306186,18.0,V019线,3,2025-06-30 06:23:00,2025-06-30 06:43:00,0.005,0.7,,,,,小型面包车
2025-06-30,OM25062800000052,重庆青凤科技发展有限公司,2025-06-30 07:20:00,2025-06-30 07:45:00,106.33835,29.715338,99.55,V019线,4,2025-06-30 07:20:00,2025-06-30 07:41:00,52.019,36.4,,,,,小型面包车
2025-06-30,OM25062800001623,重庆市公安局沙坪坝区分局交通巡逻警察支队勤务五大队,2025-06-30 08:00:00,2025-06-30 08:30:00,106.341044,29.605,136.755,V019线,5,2025-06-30 08:00:00,2025-06-30 08:22:00,18.009,18.2,,,,,小型面包车
2025-06-30,OM25062900000365,重庆市綦江区益恒环保科技有限公司,2025-06-30 07:00:00,2025-06-30 10:10:00,106.648847,29.089485,303.833,V019线,6,2025-06-30 09:20:00,2025-06-30 09:45:00,82.218,58.1,,,,,小型面包车
2025-06-30,OM25062900002840,新大正物业集团股份有限公司（证监局）,2025-06-30 05:00:00,2025-06-30 05:30:00,106.587073,29.565019,132.21,V020线,1,2025-06-30 05:00:00,2025-06-30 05:22:00,36.193,37.8,72.121,244.47,1250.918,2025-06-30 04:22:00,小型面包车
2025-06-30,OM25062800004682,重庆复旦中学附属幼儿园-学生其他类,2025-06-30 06:00:00,2025-06-30 06:20:00,106.583453,29.560892,223.374,V020线,2,2025-06-30 06:00:00,2025-06-30 06:23:00,1.46,5.6,,,,,小型面包车
2025-06-30,OM25062900000937,中国人民解放军海军装备部驻广州地区军事代表局驻重庆地区第一军事代表室,2025-06-30 06:40:00,2025-06-30 06:50:00,106.522804,29.540642,588.609,V020线,3,2025-06-30 06:44:00,2025-06-30 07:13:00,10.414,20.3,,,,,小型面包车
2025-06-30,OM25062900000261,重庆建工第十二建设有限责任公司,2025-06-30 07:00:00,2025-06-30 07:30:00,106.520058,29.605993,74.521,V020线,4,2025-06-30 07:29:00,2025-06-30 07:51:00,13.42,16.1,,,,,小型面包车
2025-06-30,OM25062700007827,重庆智飞生物制品股份有限公司,2025-06-30 07:50:00,2025-06-30 08:10:00,106.578811,29.583062,232.204,V020线,5,2025-06-30 08:03:00,2025-06-30 08:27:00,10.634,12.6,,,,,小型面包车
2025-06-30,OM25062900000975,两江物业—职能中心食堂,2025-06-30 06:00:00,2025-06-30 06:20:00,106.820019,29.693393,279.411,V023线,1,2025-06-30 06:00:00,2025-06-30 06:24:00,60.704,42.7,60.704,66.89,279.411,2025-06-30 05:17:00,大型面包车
2025-06-30,OM25062900002562,两江小博士幼儿园-保亿丽景分园,2025-06-30 06:00:00,2025-06-30 06:10:00,106.470313,29.725997,266.585,V024线,1,2025-06-30 06:00:00,2025-06-30 06:24:00,20.339,16.8,57.979,127.37,517.645,2025-06-30 05:43:00,大型面包车
2025-06-30,OM25062900003372,重庆国际物流枢纽园区-早餐,2025-06-30 06:50:00,2025-06-30 07:10:00,106.39973,29.641279,142.572,V024线,2,2025-06-30 06:50:00,2025-06-30 07:12:00,22.764,20.3,,,,,大型面包车
2025-06-30,OM25062900003711,沙照明设施管理-大学城,2025-06-30 07:25:00,2025-06-30 07:45:00,106.341215,29.607477,108.488,V024线,3,2025-06-30 07:29:00,2025-06-30 07:51:00,14.876,16.8,,,,,大型面包车
2025-06-30,OM25062900004551,考试中心（应急管理局肉）,2025-06-30 06:00:00,2025-06-30 06:30:00,106.506619,29.62111,98.537,V025线,1,2025-06-30 06:00:00,2025-06-30 06:21:00,20.182,16.8,59.785,151.78,305.426,2025-06-30 05:43:00,大型面包车
2025-06-30,OM25062900001855,重庆市沙坪坝区公共停车管理处,2025-06-30 06:00:00,2025-06-30 07:00:00,106.469852,29.567755,97.143,V025线,2,2025-06-30 06:38:00,2025-06-30 06:59:00,11.227,16.1,,,,,大型面包车
2025-06-30,OM25062900004949,重庆大江建设工程集团有限公司-客餐,2025-06-30 07:00:00,2025-06-30 07:30:00,106.560191,29.63154,18.72,V025线,3,2025-06-30 07:22:00,2025-06-30 07:42:00,21.322,23.1,,,,,大型面包车
2025-06-30,OM25062900005012,中信银行-金渝支行（日配）,2025-06-30 07:50:00,2025-06-30 08:15:00,106.532388,29.658287,91.026,V025线,4,2025-06-30 07:54:00,2025-06-30 08:15:00,7.054,11.2,,,,,大型面包车
2025-06-30,OM25062700003714,重庆两江新区嘉景湾幼儿园-幼儿餐,2025-06-30 06:00:00,2025-06-30 06:30:00,106.488323,29.702462,43.311,V026线,1,2025-06-30 06:00:00,2025-06-30 06:21:00,17.171,15.4,42.734,84.12,514.361,2025-06-30 05:45:00,大型面包车
2025-06-30,OM25062900004601,勤务学院一食堂,2025-06-30 06:30:00,2025-06-30 07:00:00,106.324651,29.635466,471.05,V026线,2,2025-06-30 06:42:00,2025-06-30 07:09:00,25.563,21.0,,,,,大型面包车
2025-06-30,OM25062900004122,重庆市巴渝学校,2025-06-30 05:10:00,2025-06-30 05:30:00,106.473143,29.49352,1.62,V027线,1,2025-06-30 05:10:00,2025-06-30 05:30:00,31.835,25.9,79.777,234.84,465.544,2025-06-30 04:44:00,大型面包车
2025-06-30,OM25062800005656,重庆复旦中学附属幼儿园贰园-学生其他类,2025-06-30 06:00:00,2025-06-30 06:20:00,106.576256,29.557443,99.447,V027线,2,2025-06-30 06:00:00,2025-06-30 06:22:00,15.896,30.1,,,,,大型面包车
2025-06-30,OM25062800001772,重庆中法供水-松树桥食堂,2025-06-30 06:30:00,2025-06-30 06:50:00,106.50817,29.588904,93.375,V027线,3,2025-06-30 06:41:00,2025-06-30 07:02:00,11.069,18.9,,,,,大型面包车
2025-06-30,OM25062900005205,丽苑大酒店-西餐厅,2025-06-30 07:30:00,2025-06-30 07:50:00,106.466603,29.561936,8.4,V027线,4,2025-06-30 07:30:00,2025-06-30 07:50:00,7.588,14.0,,,,,大型面包车
2025-06-30,OM25062900004359,慎安医院大厨房,2025-06-30 08:15:00,2025-06-30 08:35:00,106.478899,29.642794,262.702,V027线,5,2025-06-30 08:15:00,2025-06-30 08:39:00,13.389,17.5,,,,,大型面包车
2025-06-30,OM25062900003678,重庆市生态环境监测中心,2025-06-30 06:00:00,2025-06-30 06:20:00,106.498872,29.597912,541.314,V028线,1,2025-06-30 06:00:00,2025-06-30 06:29:00,21.805,19.6,55.813,199.99,1404.349,2025-06-30 05:40:00,大型面包车
2025-06-30,OM25062900005812,大连银行股份有限公司重庆分行,2025-06-30 06:20:00,2025-06-30 06:40:00,106.520366,29.597302,661.914,V028线,2,2025-06-30 06:38:00,2025-06-30 07:09:00,3.5,9.1,,,,,大型面包车
2025-06-30,OM25062900000524,太极涵菡渝北分公司-二楼特色餐,2025-06-30 07:10:00,2025-06-30 07:30:00,106.491675,29.63761,175.053,V028线,3,2025-06-30 07:21:00,2025-06-30 07:44:00,9.018,11.9,,,,,大型面包车
2025-06-30,OM25062900005312,烤匠IFS国金中心店,2025-06-30 08:40:00,2025-06-30 09:00:00,106.579994,29.583249,26.068,V028线,4,2025-06-30 08:40:00,2025-06-30 09:00:00,21.49,23.1,,,,,大型面包车
2025-06-30,OM25062800002721,国家税务总局重庆市璧山区税务局,2025-06-30 06:00:00,2025-06-30 06:30:00,106.238898,29.586376,29.16,V029线,1,2025-06-30 06:00:00,2025-06-30 06:20:00,26.302,25.2,44.626,127.11,1091.025,2025-06-30 05:35:00,大型面包车
2025-06-30,OM25062900005092,勤务学院二食堂,2025-06-30 06:30:00,2025-06-30 07:00:00,106.324651,29.635466,954.615,V029线,2,2025-06-30 06:41:00,2025-06-30 07:20:00,18.323,20.3,,,,,大型面包车
2025-06-30,OM25062900002388,教职工食堂2,2025-06-30 07:00:00,2025-06-30 07:30:00,106.324651,29.635466,107.25,V029线,3,2025-06-30 07:20:00,2025-06-30 07:42:00,0.001,0.7,,,,,大型面包车
2025-06-30,OM25062700006268,安诚财产保险股份有限公司-2楼,2025-06-30 05:25:00,2025-06-30 05:45:00,106.57571,29.580888,45.88,V030线,1,2025-06-30 05:25:00,2025-06-30 05:46:00,32.666,26.6,73.584,231.98,643.034,2025-06-30 04:58:00,大型面包车
