销售单号,商品编码,商品名称,单位,拣货数量,长cm,宽cm,高cm,计算规则（L/kg),规则体积推算L,规格体积L,规则体积补充,备注：长宽高为一组；计算规则为二组；规则体积推算为三组；规则体积L+规则体积补充为四组
OW25062900001038,1564731,热鲜瘦肉后腿,KG,1.32,,,,1.8,,,,
OM25062700005129,2014737,黄豆0.5kg,袋,1.0,12.0,13.0,5.0,,,,,
OM25062900000365,1526775,磨皮芋儿(中),KG,4.04,,,,1.5,,,,
OM25062900000376,1538224,花生米0.5kg,袋,1.0,12.0,13.0,5.0,,,,,
OM25062900000473,2031952,咸脆桃(100-150g),KG,12.85,,,,2.5,,,,
OM25062900001362,1628918,鲜口蘑,KG,1.7,,,,4.5,,,,
OM25062900000479,1177409,小大葱,KG,0.5,,,,4.5,,,,
OM25062900000540,1162701,彩食鲜酸辣粉条,KG,2.5,,,,7.5,,,,
OM25062900001504,1177409,小大葱,KG,1.5,,,,4.5,,,,
OM25062800000599,2012263,红油桃(70-100g),KG,15.22,,,,2.5,,,,
OW25062900001003,1491623,牛蛙(活)(3-5两/只),KG,7.5,,,,6.0,,,,
OM25062700005980,1700370,松散甘蓝去毛叶,KG,10.72,,,,2.8,,,,
OM25062800005892,2037409,妃子笑荔枝(13-18g),KG,11.5,,,,7.0,,,,
OM25062900000791,2037409,妃子笑荔枝(13-18g),KG,0.37,,,,7.0,,,,
OM25062900001908,1424577,空心菜,KG,9.12,,,,7.0,,,,
OM25062900001908,614,生姜湿,KG,1.56,,,,2.5,,,,
OM25062900000937,1148640,沙地蜜薯,KG,5.02,,,,1.5,,,,
OM25062700005693,846708,土豆（切丁约1*1cm）,KG,22.0,,,,3.5,,,,
OM25062900003025,852439,[彩食鲜]黄瓜,KG,1.0,,,,2.0,,,,
OM25062900003099,1483463,鲜尾骨切块（约3*3cm）,KG,1.09,,,,2.8,,,,
OM25062900002118,1309382,黄短豆芽,KG,1.58,,,,5.0,,,,
OM25062900003160,264396,红美人椒,KG,1.03,,,,5.0,,,,
OM25062900003229,456,平包甘蓝,KG,10.06,,,,2.8,,,,
OM25062900003344,1284806,[彩食鲜]小米椒,KG,1.1,,,,5.0,,,,
OM25062900002616,1532153,薄豆干（KG）,KG,0.5,,,,2.5,,,,
OM25062900000330,1225645,新蒜苔,KG,15.1,,,,4.0,,,,
OM25062900003031,1538224,花生米0.5kg,袋,1.0,12.0,13.0,5.0,,,,,
OM25062900003696,2007166,[彩食鲜]红头蒜苗,KG,2.5,,,,2.5,,,,
OM25062900002360,1359798,冻鸭掌(L )1kg/袋,袋,2.0,26.0,18.0,2.0,,,,,
OM25062900003788,1255719,新藕,KG,1.6,,,,2.5,,,,
OM25062900003678,2014822,大白豆2.5kg,袋,1.0,23.0,6.0,33.0,,,,,
OM25062900002616,949923,仔姜,KG,2.8,,,,2.5,,,,
OM25062900003031,1538224,花生米0.5kg,袋,1.0,12.0,13.0,5.0,,,,,
OM25062700007031,2014601,干青花椒1kg,袋,1.0,17.0,8.0,23.0,,,,,
OM25062900003859,1255174,[佳沛]金奇异果 (110-130g)/个,个,9.0,,,,,0.52,,,
OW25062800001010,1456598,松花江畔珍珠米 24kg,袋,2.0,63.0,33.0,12.0,,,,,
OM25062800000599,299646,丁点麻得倒红花椒油500ml,瓶,3.0,20.5,6.0,6.0,,,,,
OM25062900002955,844456,土豆球（去皮）,KG,0.52,,,,3.5,,,,
OM25062800000551,1589667,天友百特有机4.0g纯牛奶250ml*12,提,3.0,32.0,21.0,18.0,,,,,
OM25062900003577,1201518,干紫菜40g（包）,包,2.0,17.0,17.0,4.0,,,,,
OM25062700006452,475424,凤球唛黑胡椒汁250g,瓶,2.0,6.0,6.0,18.0,,,,,
OM25062900003557,1097886,融厨桂花糕810g,袋,2.0,20.0,4.0,13.0,,,,,
OM25062700007065,241005,华多原汁醪糟600g,瓶,1.0,10.0,10.0,14.0,,,,,
OW25062600000205,1182462,红蜻蜓物理压榨一级菜籽油5L,瓶,1.0,34.0,14.0,14.0,,,,,
OM25062900005006,806263,茉莉香葡萄,KG,0.0,,,,4.0,,,,
OM25062900003926,787458,[彩食鲜]香菜,KG,1.52,,,,6.0,,,,
OM25062900002993,263859,胡萝卜,KG,0.56,,,,2.0,,,,
OM25062900005012,1191435,蒜米机剥,KG,0.64,,,,2.5,,,,
OM25062900003025,1119256,福禄丝雪花生粉4kg,袋,1.0,,,,,,7.0,,
OW25062700000058,301136,鲁花低芥酸特香菜籽油5L,瓶,1.0,15.0,15.0,35.0,,,10.0,,
OW25062900001095,337052,佳仙小米辣2.5kg,袋,1.0,18.0,27.0,5.0,,,10.0,,
OM25062700006627,1095729,乌江原味榨菜丝800g,袋,1.0,32.0,22.0,2.0,,,1.2,,
OM25062900000975,858318,家乐鸡精900g,袋,2.0,17.0,7.0,20.0,,,3.9,,
OM25062900005015,1736172,热鲜牛肋条（去骨）,KG,3.0,,,,2.3,,0.6,,
OM25062900002009,1068773,麒麟西瓜,KG,17.68,,,,2.5,,16.0,,
OM25062800000599,999143,青椒,KG,9.78,,,,5.0,,5.5,,
OM25062900004026,1610820,冷鲜梅花肉(黑猪),KG,50.0,,,,1.5,,0.6,,
OM25062900005135,1116454,蒜苗,KG,0.5,,,,4.0,,1.2,,
OM25062900004078,846698,[彩食鲜]豇豆,KG,10.06,,,,3.5,,0.6,,
TOW0X2250627001572,1563446,甘源缤纷综合果仁208g,袋,20.0,13.0,13.0,10.0,,,1.0,,
OM25062900005135,1493225,热鲜三黄鸡切块(约2*2cm),KG,5.04,,,,2.5,,1.2,,
OM25062900005327,1118754,二荆条（清洗）1.5kg,份,2.0,,,,,5.25,3.0,,
OM25062900005334,1099521,银针菇（理净）2.5kg,份,1.0,,,,,8.75,1.0,,
OM25062900004279,1099521,银针菇（理净）2.5kg,份,1.0,,,,,8.75,3.0,,
OM25062900004279,1118754,二荆条（清洗）1.5kg,份,1.0,,,,,5.25,7.0,,
OM25062900005334,1099505,红小米椒（去把）450g,份,1.0,,,,,1.575,1.2,,
OM25062900000521,1359794,冻鸭头(8头)1kg/袋,袋,1.0,26.0,18.0,2.0,,,0.9,,
OM25062900004431,1279445,土豆(5两以上),KG,5.06,,,,1.5,,6.43,,
OM25062900000330,1266848,油麦菜,KG,10.48,,,,7.0,,0.6,,
OM25062900004496,1559505,红皮洋葱,KG,10.0,,,,2.0,,5.5,,
OM25062900004518,614,生姜湿,KG,5.3,,,,2.5,,16.0,,
OM25062900005670,852410,[彩食鲜]西红柿,KG,3.06,,,,2.5,,10.0,,
OM25062900003863,1116596,金龙鱼精炼一级菜籽油非转压榨10L,桶,2.0,19.0,19.0,42.0,,,0.6,,
OM25062900002980,7748,海天上等蚝油700g,瓶,2.0,27.0,6.8,6.8,,,6.43,,
OM25062900004580,1140114,双汇汇福来火腿肠330g,支,2.0,25.0,10.0,2.0,,,0.6,,
OM25062900005003,167750,椰树牌椰子汁1L,盒,1.0,19.0,9.0,5.5,,,7.0,,
OM25062900004346,729109,太太乐鸡精2.5KG,包,1.0,33.0,23.0,4.0,,,0.5,,
OM25062900005719,1133453,香葱水洗,KG,1.0,,,,6.0,,0.6,,
OM25062900005719,1639307,半成品肥肠 少油,KG,5.05,,,,2.5,,10.0,,
OM25062900004518,1630504,[彩食鲜]小黄葱,KG,3.0,,,,4.0,,1.2,,
OM25062900005684,1359019,[六和]冻鸭掌L 1kg/袋,袋,12.0,26.0,18.0,2.0,,,3.0,,
OM25062900005633,7748,海天上等蚝油700g,瓶,2.0,27.0,6.8,6.8,,,3.0,,
OM25062900005454,718607,伊利安慕希原味酸奶205g*12,提,1.0,20.0,15.0,10.0,,,1.25,,
OM25062900003859,257257,海天金标生抽1.9L,桶,4.0,11.0,11.0,29.5,,,3.9,,
TOWB69250629000402,1256212,恒星红油豆瓣10kg,件,1.0,31.0,22.0,20.0,,,0.6,,
OM25062900005719,1347204,[彩食鲜]紫皮洋葱,KG,1.0,,,,2.0,,7.0,,
OM25062900005670,953467,白萝卜,KG,17.86,,,,2.0,,0.5,,
OM25062900005845,1068773,麒麟西瓜,KG,18.68,,,,2.5,,,,
OM25062900005573,2014856,干大木耳0.5kg(B),袋,1.0,19.0,7.0,27.0,,,,,
OM25062900003264,1171389,冷鲜鲜五花肉去皮,KG,6.02,,,,1.5,,,,
OM25062900000339,1733123,鲜去皮兔,KG,9.52,,,,3.0,,,,
OM25062900005845,1279167,[彩食鲜]绿豆芽,KG,3.24,,,,4.5,,,,
OM25062900005897,77055,雕牌洗洁精5kg,瓶,1.0,30.0,20.0,17.0,,,,,
OM25062900004813,953438,佛手瓜,KG,1.32,,,,2.5,,,,
OM25062900005899,1976657,蓝莓葡萄,KG,2.82,,,,4.0,,,,
OM25062900005812,956514,盐渍海带丝（加工）,KG,2.0,,,,2.8,,,,
OM25062900005626,1070682,彩食鲜糯小米,KG,1.5,,,,1.8,,,,
OM25062900004879,1166268,[彩食鲜]娃娃菜约500g/包,包,2.0,,,,,1.4,,,
OM25062900003961,1258021,小土豆（去皮）,KG,6.54,,,,3.5,,,,
OM25062900004894,1211346,长茄,KG,2.64,,,,4.5,,,,
TOWB69250629000403,317727,正大富硒蛋,KG,21.0,,,,2.0,,,,
OM25062900005079,1271574,[彩食鲜]红美人椒,KG,0.53,,,,5.0,,,,
TOWB69250629000473,2014540,红糖板0.5kg,袋,1.0,7.0,7.0,20.0,,,,,
OM25062900001003,2064127,食品留样盒300ML,个,50.0,10.5,10.5,4.0,,,,,
OM25062900004933,1099529,大葱（清洗）1.5kg,份,2.0,,,,,5.25,,,
OM25062900006022,1167201,圣女果小番茄,KG,0.5,,,,2.5,,,,
OW25062700000082,569434,金龙鱼优质东北大米5kg,袋,1.0,42.0,27.0,7.0,,,,,
OM25062900004666,1084438,黄秋葵,KG,1.6,,,,3.0,,,,
OM25062900003430,803533,海底捞醇香牛油火锅底料150g,袋,10.0,23.0,17.0,1.0,,,,,
OM25062900003859,1120585,青红脆李(18-35g),KG,17.88,,,,2.5,,,,
OM25062900006042,1182504,鲜纤排切块,KG,1.04,,,,2.8,,,,
OM25062900000231,2014552,玉米珍0.5kg,袋,1.0,12.0,13.0,5.0,,,,,
OM25062900000995,1271536,[彩食鲜]空心菜,KG,8.42,,,,7.0,,,,
OM25062900004953,457,白菜,KG,2.3,,,,2.8,,,,
OM25062900003264,456,平包甘蓝,KG,17.3,,,,2.8,,,,
OM25062900000388,1491632,江团(杀净)(杀前1-1.5斤/条),KG,0.79,,,,1.8,,,,
OW25062900001121,939334,蒙牛风味酸牛奶原味圆周杯100g*16,组,6.0,25.0,15.0,10.0,,,,,
OM25062900007092,1810883,香叶250g,袋,1.0,28.0,10.0,3.0,,,,,
OM25062900004514,1232928,鸡蛋水面（细面）,KG,1.08,,,,2.5,,,,
OM25062700006594,1566521,冷鲜五花肉(精品)(烧洗),KG,4.27,,,,1.5,,,,
OM25062700006409,933869,泡藠头,KG,4.0,,,,2.5,,,,
OM25062900003621,1493310,热鲜三黄鸡净膛烧毛,KG,10.56,,,,2.5,,,,
OM25062700003523,481,四季豆,KG,1.6,,,,3.5,,,,
OM25062700002578,1176539,彩食鲜油酥豌豆,KG,0.8,,,,3.0,,,,
OM25062700003851,2007166,[彩食鲜]红头蒜苗,KG,0.25,,,,2.5,,,,
OM25062700005136,1276876,糯玉米去皮,KG,5.28,,,,3.5,,,,
OW25062700000144,1276876,糯玉米去皮,KG,2.18,,,,3.5,,,,
OM25062700007279,1142550,折耳根,KG,0.26,,,,4.0,,,,
OM25062700007091,1179973,白面条（细面）,KG,5.0,,,,2.5,,,,
OM25062700005771,1191435,蒜米机剥,KG,5.0,,,,2.5,,,,
OM25062700006632,1585968,热鲜牛里脊去筋膜,KG,1.16,,,,2.3,,,,
OM25062700006632,1706377,[彩食鲜]地瓜叶,KG,5.2,,,,7.0,,,,
OM25062700006667,1271589,[彩食鲜]红彩椒,KG,2.61,,,,5.0,,,,
OM25062700001814,1179974,白面条（韭菜叶面）,KG,1.52,,,,2.5,,,,
OM25062700000855,1733123,鲜去皮兔,KG,1.18,,,,3.0,,,,
OM25062700002570,787523,[彩食鲜]莴笋杆,KG,4.02,,,,2.5,,,,
OM25062700007827,8775,鲜鸡蛋,KG,10.0,,,,2.0,,,,
OM25062800005250,1226142,老豆腐（石膏老豆腐）1kg,包,2.0,20.0,20.0,3.6,,,,,
OM25062800005880,1643148,鲜粉条,KG,5.02,,,,2.5,,,,
OM25062800005892,307,饺子皮,KG,3.02,,,,2.0,,,,
OM25062800000098,1245841,鲜瘦肉（前腿）,KG,15.0,,,,1.8,,,,
OM25062700006594,1491407,牛蛙(活杀)(杀前150-250g/只),KG,45.0,,,,1.8,,,,
OM25062700002570,1245846,鲜猪前蹄(1切2）,KG,10.17,,,,2.8,,,,
OM25062700002578,1276876,糯玉米去皮,KG,1.52,,,,3.5,,,,
OM25062700002925,1193770,莴笋头（去皮）,KG,10.04,,,,3.5,,,,
OW25062700000144,570,南瓜,KG,2.0,,,,1.6,,,,
OM25062700006268,317727,正大富硒蛋,KG,21.0,,,,2.0,,,,
OM25062700006431,1193770,莴笋头（去皮）,KG,22.5,,,,3.5,,,,
OM25062700006632,623,木耳,KG,0.52,,,,4.5,,,,
OM25062700007680,1133453,香葱水洗,KG,1.0,,,,6.0,,,,
OM25062700007061,1171389,冷鲜鲜五花肉去皮,KG,3.77,,,,1.5,,,,
OM25062700003763,1398557,五香板鸭,KG,20.0,,,,2.5,,,,
OW25062700000087,1755392,彩食鲜山楂碎,KG,0.5,,,,3.0,,,,
OM25062700003369,1175353,彩食鲜灰枣,KG,1.0,,,,3.0,,,,
OM25062700002570,1551872,鲜前腿肉（整）去皮,KG,5.63,,,,1.8,,,,
OM25062800004609,1309382,黄短豆芽,KG,3.14,,,,5.0,,,,
OM25062800003739,858282,鲜二刀肉（后腿）,KG,0.0,,,,1.8,,,,
OM25062700006694,1734035,鲜公鸡（烧）,KG,12.8,,,,2.5,,,,
OM25062800000098,852410,[彩食鲜]西红柿,KG,18.06,,,,2.5,,,,
OM25062700006552,317727,正大富硒蛋,KG,21.0,,,,2.0,,,,
OW25062700000087,1631663,白砂糖500g,份,1.0,19.0,12.0,4.0,,,,,
OM25062900001268,1493192,热鲜老母鸡(净膛),KG,1.42,,,,2.5,,,,
OM25062700003112,1538136,小米0.5kg,袋,1.0,12.0,13.0,5.0,,,,,
OM25062900000305,1275567,鲜三黄鸡（烧毛）,KG,18.78,,,,2.5,,,,
OM25062900000305,1179973,白面条（细面）,KG,10.04,,,,2.5,,,,
OM25062900000322,1796329,海白虾(全活)(30-40头/斤),KG,2.0,,,,6.0,,,,
OM25062700004040,2014737,黄豆0.5kg,袋,1.0,12.0,13.0,5.0,,,,,
OM25062700007409,1538142,去皮白芝麻0.5kg,袋,1.0,12.0,13.0,5.0,,,,,
OM25062900000365,1601701,热鲜猪耳(烧洗),KG,2.53,,,,2.8,,,,
OM25062900001362,1118776,北纬23°哈密瓜(1.5-2kg),KG,11.75,,,,2.5,,,,
OM25062900000373,1234224,[彩食鲜]西葫芦,KG,2.52,,,,2.9,,,,
OM25062900000388,1448287,蟹味菇125g,包,4.0,,,,,0.5625,,,
OM25062900000373,631750,正大玉米黄鸡蛋,KG,3.46,,,,2.0,,,,
OM25062900000472,1191435,蒜米机剥,KG,1.07,,,,2.5,,,,
OM25062900000524,1630504,[彩食鲜]小黄葱,KG,1.5,,,,4.0,,,,
OM25062900000521,1566521,冷鲜五花肉(精品)(烧洗),KG,10.15,,,,1.5,,,,
OM25062900001362,852439,[彩食鲜]黄瓜,KG,1.88,,,,2.0,,,,
OW25062900001029,1064292,[彩食鲜]水白菜,KG,11.24,,,,7.0,,,,
OW25062900000026,1134350,彩食鲜干小木耳,KG,1.0,,,,30.0,,,,
OM25062900001591,92,鲜牛腩,KG,17.5,,,,2.3,,,,
OM25062900000881,1415284,肉丝瓜,KG,2.12,,,,2.9,,,,
OM25062900001939,1064285,[彩食鲜]油麦菜,KG,2.68,,,,7.0,,,,
OM25062900000991,911668,[彩食鲜]上海青苗,KG,8.1,,,,7.0,,,,
OM25062900001987,1271536,[彩食鲜]空心菜,KG,8.0,,,,7.0,,,,
OM25062900000995,1347228,[彩食鲜]黄皮美人椒,KG,9.88,,,,5.0,,,,
OM25062900003025,1065604,胡萝卜B,KG,1.77,,,,2.0,,,,
OM25062900003025,1098630,黑米粉,KG,0.5,,,,1.5,,,,
OM25062900003042,1271589,[彩食鲜]红彩椒,KG,0.19,,,,5.0,,,,
OM25062900001997,1064285,[彩食鲜]油麦菜,KG,1.08,,,,7.0,,,,
OM25062900003018,1630504,[彩食鲜]小黄葱,KG,2.0,,,,4.0,,,,
OM25062900003160,1362938,鲜二刀肉后腿烧洗,KG,4.09,,,,1.5,,,,
OM25062900002253,1191435,蒜米机剥,KG,2.19,,,,2.5,,,,
OM25062900002293,1191435,蒜米机剥,KG,5.0,,,,2.5,,,,
OM25062900002295,5768,迷你小黄瓜,KG,2.2,,,,2.0,,,,
OM25062900003372,1271499,[彩食鲜]平包甘蓝,KG,5.18,,,,2.8,,,,
OM25062900002442,1347204,[彩食鲜]紫皮洋葱,KG,1.08,,,,2.0,,,,
OM25062800002222,1335998,[彩食鲜]红苋菜,KG,9.1,,,,7.0,,,,
OM25062900000985,2014737,黄豆0.5kg,袋,1.0,12.0,13.0,5.0,,,,,
OM25062900001987,2014811,聚行家白砂糖1kg,袋,1.0,14.0,7.0,20.0,,,,,
OM25062900003673,1271566,[彩食鲜]四季豆,KG,5.16,,,,3.5,,,,
OM25062900002840,2014567,大白豌豆0.5kg,袋,1.0,12.0,13.0,5.0,,,,,
OM25062900002572,457,白菜,KG,3.66,,,,2.8,,,,
OW25062900000026,2014956,干大木耳0.5kg（一级）,袋,1.0,19.0,7.0,27.0,,,,,
OM25062900002616,1232928,鸡蛋水面（细面）,KG,5.02,,,,2.5,,,,
OM25062900003031,1538224,花生米0.5kg,袋,1.0,12.0,13.0,5.0,,,,,
OM25062900003711,1483637,冷鲜五花肉(烧毛),KG,1.29,,,,1.5,,,,
OM25062900002748,949923,仔姜,KG,3.6,,,,2.5,,,,
OM25062900002752,1255719,新藕,KG,2.08,,,,2.5,,,,
OM25062700001717,871801,庆美永川家乡豆豉150g,袋,10.0,18.0,12.0,1.5,,,,,
OM25062700000410,1602644,天友重庆牛奶场4.0鲜牛奶900ml,盒,20.0,21.5,9.0,9.0,,,,,
OM25062800003188,315873,天友芦荟+猕猴桃酸奶160g,杯,20.0,8.0,8.0,12.0,,,,,
OW25062700000022,172060,梅林午餐肉(上海）340g,罐,1.0,10.0,5.0,9.0,,,,,
OM25062900000377,172060,梅林午餐肉(上海）340g,罐,4.0,10.0,5.0,9.0,,,,,
OM25062800001089,1494851,柴大嫂烤牛肉味黄金豆2.25kg,袋,6.0,20.0,6.0,28.0,,,,,
OM25062900001987,541755,迎福好筋道龙口粉丝500g,袋,2.0,35.0,16.0,5.5,,,,,
OM25062700006279,1747107,元宝牌(彩食鲜甄选)东北珍珠米25kg,袋,1.0,63.0,33.0,12.0,,,,,
OM25062900001323,1093527,凤球唛番茄调味酱850g,罐,1.0,10.0,10.0,12.0,,,,,
OM25062900002292,1732410,百钻复合食用小苏打250g,包,1.0,18.0,13.0,1.0,,,,,
OM25062900003042,309554,双汇王中王240g,支,3.0,18.0,12.0,4.0,,,,,
OM25062700002413,858318,家乐鸡精900g,袋,10.0,17.0,7.0,20.0,,,,,
OM25062900003926,614,生姜湿,KG,2.08,,,,2.5,,,,
OM25062900005005,1177160,冷鲜猪肉馅(前腿瘦肉）,KG,3.5,,,,1.5,,,,
OM25062700006431,671420,[彩食鲜]木耳菜,KG,13.3,,,,7.0,,,,
OM25062900003678,1538210,绿豆0.5kg,袋,1.0,12.0,13.0,5.0,,,,,
OM25062700006781,1069407,立白新36金桔洗洁精4KG,桶,3.0,,,,,,10.0,,
OM25062900003780,8243,巨龙料酒480ml,瓶,1.0,25.0,6.0,6.0,,,,,
OM25062900003788,190953,立白洗洁精1.68kg,桶,1.0,24.0,7.0,14.0,,,,,
OM25062800001921,912526,天友净燃烧酸奶风味发酵乳208g,瓶,25.0,8.0,8.0,12.0,,,,,
OM25062800002222,303663,莎麦鸡精454g,袋,22.0,23.0,16.0,2.0,,,,,
OM25062900002118,7723,李锦记蒸鱼豉油410ml,瓶,1.0,24.0,5.0,5.0,,,,,
OM25062700005767,2025720,生粉0.5kg,袋,3.0,21.0,17.0,1.0,,,,,
OM25062900001987,257257,海天金标生抽1.9L,桶,1.0,11.0,11.0,29.5,,,,,
OM25062900003926,671420,[彩食鲜]木耳菜,KG,2.06,,,,7.0,,,,
OM25062900003940,1922734,糯米烧麦50g*6,包,1.0,15.0,8.0,10.0,,,,,
OM25062900003965,852439,[彩食鲜]黄瓜,KG,6.3,,,,2.0,,,,
OM25062900005071,1694671,冷鲜里脊肉(黑猪),KG,5.05,,,,1.5,,,,
OM25062900005092,1141359,热鲜通排(精品),KG,7.5,,,,2.8,,,,
OW25062900000145,911920,鲜木耳大,KG,0.54,,,,4.5,,,,
OM25062900004078,317130,鲜花椒,KG,0.5,,,,5.0,,,,
OM25062900005176,1796328,海白虾(全活)(20-30头/斤),KG,0.75,,,,6.0,,,,
OM25062900005135,1166223,[彩食鲜]小白菜,KG,3.02,,,,7.0,,,,
OM25062900005166,1166163,[彩食鲜]白莲藕,KG,1.2,,,,2.5,,,,
OM25062900005188,1132965,香葱带泥,KG,0.0,,,,6.0,,,,
TOW0X2250627001572,1920489,巷子深软香丝苗米9.5kg,袋,60.0,47.0,30.0,7.0,,,,,
OM25062900005334,1177833,黄柠檬(100-150g),KG,1.03,,,,3.0,,,,
OM25062900004281,1258024,本地白壳蛋,KG,1.04,,,,2.0,,,,
OM25062900004271,1099557,香菜（清洗）450g,份,1.0,,,,,1.575,,,
OM25062900004271,1215327,莲藕（切片）1.5kg,袋,2.0,,,,,5.25,,,
OM25062900005334,1099517,大蒜（去皮）2.5kg,份,1.0,,,,,8.75,,,
OM25062900005339,1754497,青金桔(10-15g),KG,0.5,,,,3.0,,,,
OM25062900004275,1099557,香菜（清洗）450g,份,1.0,,,,,1.575,,,
OM25062900004277,1099534,洋葱（去皮）1.5kg,份,3.0,,,,,5.25,,,
OM25062900004279,1099544,折耳根（清洗）450g,份,1.0,,,,,1.575,,,
OM25062900003474,1194826,甜王西瓜,KG,22.64,,,,2.5,,,,
OM25062900004328,1552045,小葱（去根清洗）,KG,0.5,,,,3.5,,,,
OM25062900004359,1131113,青小米椒,KG,0.5,,,,5.0,,,,
OM25062900005452,1922728,玉米方糕85g*3,包,5.0,15.0,8.0,10.0,,,,,
OM25062900005452,441,上海青,KG,2.5,,,,7.0,,,,
OM25062900005477,1182504,鲜纤排切块,KG,5.05,,,,2.8,,,,
OM25062900004460,1347973,热鲜肋排,KG,8.03,,,,2.8,,,,
OM25062900000362,1498561,[太合]冻琵琶腿(150g+)9.7kg/箱,箱,1.0,44.0,30.0,15.0,,,,,
OM25062900003344,973452,[彩食鲜]菠菜,KG,6.2,,,,7.0,,,,
OM25062900004530,1511661,厚皮椒,KG,7.51,,,,5.0,,,,
OM25062900003772,731893,枸杞500g,袋,2.0,21.0,17.0,2.0,,,,,
OM25062900005071,675170,晶心低钠盐400g,袋,50.0,17.5,12.0,2.0,,,,,
OM25062900005337,172060,梅林午餐肉(上海）340g,罐,2.0,10.0,5.0,9.0,,,,,
OM25062900005176,1527243,枳城四川泡酸菜2.5kg,袋,5.0,30.0,20.0,5.0,,,,,
TOW0X2250627001572,656113,统一汤达人酸酸辣辣豚骨面90g,杯,8.0,11.0,12.0,11.0,,,,,
OM25062900001591,1902150,鲜前腿肉去皮烧洗,KG,7.5,,,,1.8,,,,
OM25062900004496,787458,[彩食鲜]香菜,KG,1.54,,,,6.0,,,,
OM25062900005578,1068773,麒麟西瓜,KG,8.66,,,,2.5,,,,
OM25062900004514,1491718,牛蛙(杀净)(杀前250-350g/只),KG,1.5,,,,1.8,,,,
OM25062900005616,1531959,厚豆干（KG）,KG,4.5,,,,2.5,,,,
