主客户编码,主客户名称,子客户编码,子客户名称,子客户地址,交接方式,是否限高,额外工作时长（小时） ,是否需要搬运工,配送类型
157421,重庆水务环境控股集团有限公司,Z077796,重庆水务环境控股集团有限公司,重庆市重庆市渝中区渝中区虎踞路80号重庆总部城A区11栋渝中区虎踞路80号重庆总部城A区,称重点数,是,20分钟,否,正常
189768,中国人民解放军陆军军医大学第一附属医院（西南医院幼儿园）,Z078247,西南医院幼儿园,沙坪坝区西南医院幼儿园,称重点数,否,30分钟,否,正常
105480,中国石油天然气股份有限公司西南化工销售重庆仓储中心,105480,中国石油天然气股份有限公司西南化工销售重庆仓储中心,重庆市重庆市沙坪坝区中国石油西南化工销售重庆分公司,称重点数,否,,否,正常
150035,西南大学,Z073825,西南大学-南区老师,重庆市重庆市北碚区西南大学实验幼儿园南区,称重点数,否,,否,正常
150035,西南大学,Z073827,西南大学-北区老师,重庆市重庆市北碚区西南大学实验幼儿园西南大学5号门进去,称重点数,否,,否,正常
166342,重庆市江北区人民政府石马河街道办事处,Z088811,重庆市江北区人民政府石马河街道办事处,重庆市重庆市江北区江北区-余溪南路82号附25号3楼食堂,称重点数,是,,否,正常
106288,重庆两江新区爱德蒙幼儿园,Z035134,重庆两江新区爱德蒙幼儿园-学生,湖云路12号爱德蒙幼儿园,称重点数,否,,否,正常
166342,重庆市江北区人民政府石马河街道办事处,Z088811,重庆市江北区人民政府石马河街道办事处,重庆市重庆市江北区江北区-余溪南路82号附25号3楼食堂,称重点数,是,,否,正常
110866,重庆市北碚区住房和城乡建设委员会,110866,重庆市北碚区住房和城乡建设委员会,重庆市重庆市北碚区北碚城乡建设委员会定位对面就是食堂送到3楼,称重点数,否,30分钟,否,正常
189766,重庆市人口与家庭发展研究中心,Z086707,重庆市人口与家庭发展研究中心,重庆市重庆市渝北区重庆市人口与发展研究中心2楼食堂（平层）,称重点数,否,,否,正常
106459,重庆智飞生物制品股份有限公司,106459,重庆智飞生物制品股份有限公司,国金中心L1  51楼,称重点数,是,,否,正常
254602,重庆青凤科技发展有限公司,Z100128,重庆青凤科技发展有限公司,重庆市-沙坪坝区-凤集路与海博大道交口西北侧重庆市沙坪坝区凤集路与海博大道交叉口西北方向181米,称重点数,否,30分钟,否,正常
114660,重庆中机中联工程有限公司,Z063806,中机中联-中机建筑大厦,重庆市重庆市九龙坡区石桥铺中机建设科技大厦九龙坡长新路,称重点数,是,,否,正常
190039,重庆市沙坪坝区春田幼儿园,Z064682,春田幼儿园-老师,沙坪坝区春田幼儿园重庆市沙坪坝区土湾新生村12号（沙坪坝区春田幼儿园）,称重点数,是,,否,正常
190039,重庆市沙坪坝区春田幼儿园,Z064660,重庆市沙坪坝区春田幼儿园,沙坪坝区春田幼儿园重庆市沙坪坝区土湾新生村12号（沙坪坝区春田幼儿园）,称重点数,是,,否,正常
189766,重庆市人口与家庭发展研究中心,Z086708,重庆市人口与家庭发展研究中心-耗材,重庆市重庆市渝北区重庆市人口与发展研究中心2楼食堂（平层）,称重点数,否,,否,正常
160519,重庆市第一中学校,Z100159,重庆一中一食堂-小卖部,重庆市沙坪坝区汉渝路17-5号,称重点数,否,,否,正常
127093,重庆市渝北区金豆云中幼儿园有限公司,Z046615,重庆市渝北区北城书画艺术学校,重庆市重庆市渝北区金豆子幼稚园-南门,称重点数,是,,否,正常
125096,重庆市北碚区人民法院,Z041908,重庆市北碚区人民法院,重庆市重庆市北碚区重庆市北碚区人民法院,称重点数,否,,否,正常
106898,中信银行股份有限公司重庆分行,Z085081,中信银行-金渝支行（日配）,重庆市重庆市渝北区金渝支行时代中心1号中信银行金渝支行时代中心1号门3栋6-3,称重点数,是,,否,正常
109790,重庆市九龙坡区人民政府二郎街道办事处,Z093688,重庆市九龙坡区人民政府二郎街道办事处,重庆市重庆市九龙坡区二郎街道办事处二郎街道办事处食堂,称重点数,否,,否,正常
113134,华能国际电力股份有限公司重庆分公司,Z006476,华能-9楼,土星B1栋9楼,称重点数,是,,否,正常
113134,华能国际电力股份有限公司重庆分公司,Z006208,华能国际电力股份有限公司重庆分公司,重庆市重庆市渝北区星光五路8号（C3座）三楼,称重点数,是,,否,正常
175618,重庆市渝北区道路运输事务中心工会委员会,Z103491,重庆市渝北区道路运输事务中心工会委员会,重庆市-渝北区-高岩路112号重庆市渝北区高岩路112号,称重点数,是,,否,正常
254602,重庆青凤科技发展有限公司,Z100128,重庆青凤科技发展有限公司,重庆市-沙坪坝区-凤集路与海博大道交口西北侧重庆市沙坪坝区凤集路与海博大道交叉口西北方向181米,称重点数,否,30分钟,否,正常
114660,重庆中机中联工程有限公司,Z063806,中机中联-中机建筑大厦,重庆市重庆市九龙坡区石桥铺中机建设科技大厦九龙坡长新路,称重点数,是,1.5小时,否,正常
127093,重庆市渝北区金豆云中幼儿园有限公司,Z046615,重庆市渝北区北城书画艺术学校,重庆市重庆市渝北区金豆子幼稚园-南门,称重点数,是,,否,正常
125096,重庆市北碚区人民法院,Z100361,复兴法庭,重庆市-北碚区-兴平路与悦复大道交叉路口往东北约120米,称重点数,否,,否,正常
115407,重庆市公安局沙坪坝区分局交通巡逻警察支队勤务五大队,Z011654,重庆市公安局沙坪坝区分局交通巡逻警察支队勤务五大队,重庆市重庆市沙坪坝区重庆市沙坪坝区西永大道,信任交接,否,30分钟,否,正常
130465,重庆中法供水有限公司,Z058706,重庆中法供水-梁沱食堂,重庆市江北区宏帆路,称重点数,否,,否,正常
130465,重庆中法供水有限公司,Z059237,重庆中法供水-松树桥食堂,重庆市渝北区松石大道100号,称重点数,否,,否,正常
130465,重庆中法供水有限公司,Z058705,重庆中法供水-悦来食堂,重庆市渝北区富悦街,称重点数,否,1小时,否,正常
130465,重庆中法供水有限公司,Z084092,渝北三号桥食堂,水气大楼3楼员工食堂,称重点数,否,,否,正常
130471,重庆农村商业银行股份有限公司两江分行,Z080914,农商行两江分行-奶制品,重庆市重庆市渝北区农村商业银行两江分行重庆市渝北区金童路重庆农村商业银行（两江分行）,称重点数,是,,否,正常
118973,重庆凯源石油天然气有限责任公司巴南分公司,Z018307,重庆凯源石油天然气有限责任公司巴南分公司,巨星花园-停车场,称重点数,否,20分钟,否,正常
118973,重庆凯源石油天然气有限责任公司巴南分公司,Z018307,重庆凯源石油天然气有限责任公司巴南分公司,巨星花园-停车场,称重点数,否,20分钟,否,正常
119659,重庆瑜煌电力设备制造有限公司,Z093833,重庆瑜煌电力设备制造有限公司-干副,重庆市-北碚区-凤西路6号瑜煌电力设备制造有限公司,称重点数,否,20分钟,否,正常
130278,重庆高金实业股份有限公司,Z078988,高金实业-一楼食堂,重庆市重庆市渝北区重庆市经济技术开发区北区云卉路1,称重点数,否,,否,正常
156736,中国人民解放军陆军军医大学,Z102494,幼儿园食堂,重庆市重庆市沙坪坝区陆军军医大学直幼儿园食堂,称重点数,否,,否,正常
114660,重庆中机中联工程有限公司,Z010537,重庆中机中联工程有限公司,重庆市重庆市九龙坡区渝州路17号A座中机中联工程有限公司车库二楼食堂门口,称重点数,是,45分钟,否,正常
151915,重庆市沙坪坝区环境卫生管理处,Z099019,沙环卫-环卫处食堂,重庆市沙坪坝区环境卫生管理处重庆市沙坪坝区环境卫生管理处,称重点数,是,30分钟,否,正常
109977,重庆农村商业银行股份有限公司巴南支行,109977,重庆农村商业银行股份有限公司巴南支行,重庆市重庆市巴南区龙洲大道145号重庆农村商业银行24小时自助银行(巴南支行营业部)重庆市巴南区龙洲大道145号,称重点数,否,10分钟,否,正常
122334,重庆铁路投资集团有限公司,Z033354,重庆铁路投资集团有限公司,重庆市重庆市江北区重庆铁路投资集团有限公司p1层,称重点数,是,,否,正常
125096,重庆市北碚区人民法院,Z100362,柳荫法庭,重庆市-北碚区-柳江街126号,称重点数,否,,否,正常
131026,国家税务总局重庆市璧山区税务局,Z060348,国家税务总局重庆市璧山区税务局,重庆市重庆市璧山区璧山区人民法院-东门,称重点数,否,,否,正常
131026,国家税务总局重庆市璧山区税务局,Z060348,国家税务总局重庆市璧山区税务局,重庆市重庆市璧山区璧山区人民法院-东门,称重点数,否,,否,正常
160987,重庆市爆破工程建设有限责任公司,Z085598,重庆市爆破工程建设有限责任公司,重庆市重庆市江北区江北区华新村350号6层,称重点数,否,,否,正常
114660,重庆中机中联工程有限公司,Z010537,重庆中机中联工程有限公司,重庆市重庆市九龙坡区渝州路17号A座中机中联工程有限公司车库二楼食堂门口,称重点数,是,45分钟,否,正常
154609,招商万桥（重庆）科技有限公司,Z113014,招商万桥（重庆）科技有限公司,重庆市重庆市南岸区万桥重庆市南岸区江龙路16号b区,称重点数,否,,否,正常
126720,重庆市风景园林技工学校,Z047895,园林技工学校-教师,重庆市重庆市渝中区菜袁路203号重庆市园林技工学校,称重点数,是,,否,正常
237219,重庆市巴南区理想城幼儿园,Z076436,重庆市巴南区理想城幼儿园,重庆市重庆市巴南区理想城幼儿园,称重点数,否,,否,正常
105965,重庆两江新区丹鹤幼儿园,105965,重庆两江新区丹鹤幼儿园,重庆市重庆市渝北区重庆市渝北区鸳鸯路157,称重点数,是,,否,正常
111219,重庆市通信产业服务有限公司安达楼宇设备分公司,Z085413,电信老机关食堂,"重庆市重庆市渝中区重庆市渝中区大坪正街51号电信大院
重庆市渝中区大坪正街51号电信大院",称重点数,否,,否,正常
152883,重庆浩航船务有限公司,Z092813,重庆浩航船务有限公司,重庆市重庆市江北区浩航江北区金源路7号B区24楼,称重点数,是,,否,正常
155901,重庆市沙坪坝区教师进修学院,Z075634,重庆市沙坪坝区教师进修学院,重庆市重庆市沙坪坝区沙坪坝区教师进修学院,称重点数,否,,否,正常
125556,重庆复旦中学附属幼儿园,Z042628,重庆复旦中学附属幼儿园-学生其他类,重庆市重庆市渝中区渝中区较场口81号1幢重庆市渝中区较场口81号1幢,称重点数,是,30分钟,否,正常
117134,重庆九龙坡区铝都实验幼儿园大石堡分园,Z094604,大石堡幼儿园-教师,重庆市重庆市九龙坡区西彭镇铝城正街2号铝都实验幼儿园(大石堡分园),称重点数,否,,否,正常
163182,重庆市第十八中学,Z098967,铁山坪三楼食堂-调味品类,十八中学铁山坪铁山坪校区二楼,称重点数,否,1小时,否,正常
163182,重庆市第十八中学,Z098965,铁山坪二楼食堂-调味品类,十八中学铁山坪铁山坪校区二楼,称重点数,否,,否,正常
106898,中信银行股份有限公司重庆分行,Z085090,中信银行-冉家坝支行（日配）,重庆市重庆市渝北区龙山路303号渝安龙都3栋19-2,称重点数,是,,否,正常
105024,重庆两江新区中医院,105024,重庆两江新区中医院,重庆市重庆市渝北区两江新区中医院渝北区楠竹路3号,称重点数,是,30分钟,否,正常
237219,重庆市巴南区理想城幼儿园,Z093374,理想城幼儿园-教师,重庆市重庆市巴南区理想城幼儿园,称重点数,否,,否,正常
237219,重庆市巴南区理想城幼儿园,Z076436,重庆市巴南区理想城幼儿园,重庆市重庆市巴南区理想城幼儿园,称重点数,否,,否,正常
105956,重庆两江新区启星幼儿园,105956,重庆两江新区启星幼儿园,重庆市重庆市渝北区重庆市渝北区鸳鸯路159-、161号,称重点数,是,,否,正常
105626,中国人民解放军重庆市九龙坡区人民武装部,Z002868,中国人民解放军重庆市九龙坡区武装部（市区指挥中心）,杨家坪杨渡新村13幢人倵宾馆,称重点数,否,,否,正常
122129,重庆川仪自动化股份有限公司,Z041074,川仪自动化股份-办公室,重庆市重庆市渝北区黄山大道川仪,称重点数,否,2小时,是,单点配送
104758,快乐食间餐饮管理有限责任公司,Z091160,快乐食间-老重大,重庆市重庆市沙坪坝区重庆大学B区,称重点数,是,30分钟,否,正常
125556,重庆复旦中学附属幼儿园,Z072015,重庆复旦中学附属幼儿园贰园-学生其他类,重庆市重庆市渝中区渝中区中兴路228号附13号渝中区中兴路228号附13号,称重点数,是,30分钟,否,正常
151915,重庆市沙坪坝区环境卫生管理处,Z099020,沙环卫-转运科,"重庆市重庆市沙坪坝区重庆市沙坪坝区凤天大道147号,立宇汽修厂右上方大门处重庆市沙坪坝区凤天大道147号,立宇汽修厂右上方大门处",称重点数,是,,否,正常
106288,重庆两江新区爱德蒙幼儿园,Z035134,重庆两江新区爱德蒙幼儿园-学生,湖云路12号爱德蒙幼儿园,称重点数,否,,否,正常
127333,重庆中国三峡博物馆,Z047140,重庆中国三峡博物馆-大礼堂,重庆市重庆市渝中区重庆中国三峡博物馆渝中区人民路236号,称重点数,否,30分钟,否,正常
163182,重庆市第十八中学,Z098963,铁山坪二楼食堂-面食,重庆市重庆市江北区十八中学铁山坪二楼食堂,称重点数,否,,否,正常
258594,重庆市九龙坡区金凤镇人民政府,Z103637,重庆市九龙坡区金凤镇人民政府,重庆市-九龙坡区-凤苑路14号附3号1至3层,称重点数,否,30分钟,否,正常
250630,重庆市第十八中学（本部）,Z100274,十八中观音桥面食-一楼三组,重庆市重庆市江北区十八中学观音桥观音桥校区食堂,称重点数,否,,否,正常
197920,重庆市北碚区规划和自然资源局,Z103347,重庆市北碚区规划和自然资源局,重庆市-北碚区-卢作孚路555号,称重点数,否,,否,正常
253413,重庆建工第十二建设有限责任公司,Z093263,重庆建工第十二建设有限责任公司,重庆市重庆市渝北区渝北区新牌坊龙珠花园瑞泰口腔楼上,称重点数,是,,否,正常
122129,重庆川仪自动化股份有限公司,Z033012,川仪自动化股份-蔡家园区单位食堂,重庆市重庆市北碚区重庆川仪调节阀有限公司,称重点数,否,1小时,是,单点配送
122129,重庆川仪自动化股份有限公司,Z033012,川仪自动化股份-蔡家园区单位食堂,重庆市重庆市北碚区重庆川仪调节阀有限公司,称重点数,否,1小时,是,单点配送
122129,重庆川仪自动化股份有限公司,Z033011,川仪自动化股份-北环园区单位食堂,重庆市重庆市渝北区重庆川仪自动化股份有限公司黄山大道,称重点数,否,1小时,是,单点配送
128678,重庆水资源产业股份有限公司高新区自来水分公司,Z084476,高新区自来水-西所食堂,重庆市重庆市九龙坡区青竹路,称重点数,否,,否,正常
155633,重庆中兴软件有限责任公司,Z094915,重庆中兴软件有限责任公司,重庆市重庆市渝北区渝北区星光五路3号2期1楼员工食堂,称重点数,否,,否,正常
155633,重庆中兴软件有限责任公司,Z094915,重庆中兴软件有限责任公司,重庆市重庆市渝北区渝北区星光五路3号2期1楼员工食堂,称重点数,否,,否,正常
124577,中国人民武装警察部队重庆市总队机关服务中心,Z039238,中国人民武装警察部队重庆市总队机关服务中心,龙山路66号武警总队（大龙山66号，大龙山2A出口前方100米）,称重点数,否,,否,正常
155633,重庆中兴软件有限责任公司,Z094915,重庆中兴软件有限责任公司,重庆市重庆市渝北区渝北区星光五路3号2期1楼员工食堂,称重点数,否,,否,正常
155633,重庆中兴软件有限责任公司,Z094915,重庆中兴软件有限责任公司,重庆市重庆市渝北区渝北区星光五路3号2期1楼员工食堂,称重点数,否,1小时,否,正常
155633,重庆中兴软件有限责任公司,Z094915,重庆中兴软件有限责任公司,重庆市重庆市渝北区渝北区星光五路3号2期1楼员工食堂,称重点数,否,,否,正常
230091,重庆市綦江区益恒环保科技有限公司,Z076721,重庆市綦江区益恒环保科技有限公司,重庆市重庆市綦江区 重庆市綦江区新盛街道德胜村5组178号厨余垃圾处理中心重庆市綦江区新盛街道德胜村5组,称重点数,否,,否,正常
128678,重庆水资源产业股份有限公司高新区自来水分公司,Z092480,高新区自来水-西彭,重庆市重庆市九龙坡区九龙坡区西彭镇森迪大道96号,信任交接,否,,否,正常
114469,重庆两江新区上林幼儿园,Z009368,重庆两江新区上林幼儿园-老师,重庆市重庆市渝北区金童路251号奥林匹克花园10期23栋上林幼儿园导航直接导融创御锦停车库。从车库1号入口进入，往15栋方向走车位B048，旁边小门进,称重点数,否,,否,正常
163836,重庆市地质矿产勘查开发局107地质队,Z101157,重庆市地质矿产勘查开发局107地质队,重庆市-渝北区-腾芳大道6号,称重点数,是,,否,正常
124577,中国人民武装警察部队重庆市总队机关服务中心,Z039238,中国人民武装警察部队重庆市总队机关服务中心,龙山路66号武警总队（大龙山66号，大龙山2A出口前方100米）,称重点数,否,,否,正常
107469,重庆轨道资源经营发展有限公司,Z100941,二号线白居寺车辆段,重庆市-大渡口区张家湾轨道二号线白居寺车辆段,称重点数,否,,否,正常
115274,重庆市沙坪坝区档案馆,Z014624,重庆市沙坪坝区档案馆,重庆市重庆市沙坪坝区档案馆,称重点数,是,,否,正常
188941,重庆市渝中区文化和旅游发展委员会,Z069006,重庆市渝中区文化和旅游发展委员会,渝中区文化和旅游渝中区金汤街74号6层,称重点数,是,,否,正常
162773,重庆高速资产经营管理有限公司石油销售分公司,Z100302,重庆高速资产经营管理有限公司石油销售分公司,重庆市-渝北区-龙脊路248号3号楼3楼重庆市渝北区龙脊路248号3号楼6-2,称重点数,是,,否,正常
118522,中铁建生态环境有限公司,Z016899,中铁建生态环境有限公司-早餐,中铁建生态环境有限公司,称重点数,否,,否,正常
250630,重庆市第十八中学（本部）,Z099435,观音桥校区师生食堂,重庆市重庆市江北区十八中学观音桥观音桥校区食堂,称重点数,否,,否,正常
115315,重庆太极涵菡物业服务有限公司渝北分公司,Z099626,太极涵菡渝北分公司-二楼外卖,重庆市重庆市渝北区康美街道⼤⽵林恒⼭东路18号（一楼）太极集团新办公楼,称重点数,否,,否,正常
115315,重庆太极实业（集团）股份有限公司,Z098785,太极涵菡渝北分公司-二楼特色餐,重庆市重庆市渝北区康美街道⼤⽵林恒⼭东路18号（一楼）太极集团新办公楼,称重点数,否,1小时,否,正常
115315,重庆太极实业（集团）股份有限公司,Z010725,太极涵菡渝北分公司-一楼,重庆市重庆市渝北区康美街道⼤⽵林恒⼭东路18号（一楼）太极集团新办公楼,称重点数,否,,否,正常
115315,重庆太极实业（集团）股份有限公司,Z097699,太极涵菡渝北分公司-二楼早餐,重庆市重庆市渝北区康美街道⼤⽵林恒⼭东路18号（一楼）太极集团新办公楼,称重点数,否,,否,正常
107469,重庆轨道资源经营发展有限公司,Z100529,两路口基地,新干线大厦B座新干线大厦B座4楼,称重点数,是,,否,正常
243843,重庆市地质矿产勘查开发集团检验检测有限公司,Z110078,地质勘察——早餐,重庆市-北碚区-同德路12号,称重点数,否,,否,正常
126473,重庆金融街融迈置业有限公司,Z044332,重庆金融街融迈置业有限公司,重庆市重庆市江北区建新东路88号金融街融景中心负一楼食堂重庆市江北区建新东路88号金融街融景中心负一楼食堂,称重点数,是,30分钟,否,正常
106898,中信银行股份有限公司重庆分行,Z085099,中信银行-九龙坡支行（日配）,重庆市重庆市九龙坡区西郊路17号四季花园1栋九龙坡区西郊路17号四季花园1栋4-3,称重点数,是,,否,正常
237290,中国人民解放军海军装备部驻广州地区军事代表局驻重庆地区第一军事代表室,Z076046,中国人民解放军海军装备部驻广州地区军事代表局驻重庆地区第一军事代表室,重庆市重庆市渝中区渝中区长江二路157-7号附近渝中区长江二路157-7号附近,称重点数,否,,否,正常
159421,重庆市渝中区机关事务服务中心,Z102250,重庆市渝中区机关事务服务中心（奶BF）,重庆市-渝中区-和平路管家巷9号,称重点数,是,,否,正常
129709,重庆市沙坪坝区回龙坝镇人民政府,Z055073,重庆市沙坪坝区回龙坝镇人民政府,重庆市重庆市沙坪坝区回龙北街21号,称重点数,否,,否,正常
108818,重庆两江新区物业管理有限公司,Z074101,两江物业—职能中心食堂,重庆市重庆市渝北区渝北区御园路92号东北方向180米,称重点数,否,,否,正常
130465,重庆中法供水有限公司,Z084092,渝北三号桥食堂,水气大楼3楼员工食堂,称重点数,否,1小时,否,正常
130465,重庆中法供水有限公司,Z059237,重庆中法供水-松树桥食堂,重庆市渝北区松石大道100号,称重点数,否,,否,正常
126473,重庆金融街融迈置业有限公司,Z044332,重庆金融街融迈置业有限公司,重庆市重庆市江北区建新东路88号金融街融景中心负一楼食堂重庆市江北区建新东路88号金融街融景中心负一楼食堂,称重点数,是,,否,正常
199232,重庆市九龙坡区鹅公岩小学校,Z093498,重庆市九龙坡区鹅公岩小学校-早餐,鹅公岩小学鹅公岩小学,称重点数,否,,否,正常
131523,重庆市沙坪坝区金沙幼儿园,Z062283,金沙幼儿园-学生,重庆市重庆市沙坪坝区重庆市沙坪坝区沙滨路财信·沙滨城市A区13栋 重庆市沙坪坝区沙滨路财信·沙滨城市A区13栋,称重点数,否,,否,正常
105715,重庆建工桥梁工程有限责任公司,105715,重庆建工桥梁工程有限责任公司,重庆市重庆市南岸区重庆市南岸区重庆建工桥梁技术中心(南城大道),称重点数,否,1小时,否,正常
113643,重庆君合酒店管理有限公司,Z007473,考试中心（应急管理局干副）,重庆市重庆市渝北区重庆市应急管理局应急局,称重点数,否,30分钟,否,正常
269069,中国人民解放军陆军第九五三医院,Z119272,中国人民解放军陆军第九五三医院,重庆市-江津区-光明路江津区支坪镇,称重点数,否,,否,正常
159763,重庆市公安局特勤局,Z064756,重庆市公安局特勤局,重庆市渝北区新南路一号重庆市渝北区新南路1号,称重点数,否,15分钟,否,正常
156736,中国人民解放军陆军军医大学,Z102501,招待所食堂,重庆市重庆市沙坪坝区瑜园瑜园大门左手边，不进大门，招待所食堂,称重点数,否,1.5小时,否,正常
159763,重庆市公安局特勤局,Z064756,重庆市公安局特勤局,重庆市渝北区新南路一号重庆市渝北区新南路1号,称重点数,否,,否,正常
159763,重庆市公安局特勤局,Z064756,重庆市公安局特勤局,重庆市渝北区新南路一号重庆市渝北区新南路1号,称重点数,否,15分钟,否,正常
122129,重庆川仪自动化股份有限公司,Z033011,川仪自动化股份-北环园区单位食堂,重庆市重庆市渝北区重庆川仪自动化股份有限公司黄山大道,称重点数,否,1小时,是,单点配送
128678,重庆水资源产业股份有限公司高新区自来水分公司,Z084475,高新区自来水-大学城食堂,重庆市重庆市沙坪坝区西永大道199号,称重点数,否,,否,正常
114469,重庆两江新区上林幼儿园,Z009298,重庆两江新区上林幼儿园-学生,重庆市重庆市渝北区金童路251号奥林匹克花园10期23栋上林幼儿园导航直接导融创御锦停车库。从车库1号入口进入，往15栋方向走车位B048，旁边小门进,称重点数,否,,否,正常
115607,重庆同兴医疗废物处理有限公司,Z011688,重庆同兴医疗废物处理有限公司,重庆市重庆市北碚区田坝子村重庆同兴医疗废物处理公司,称重点数,否,,否,正常
131046,重庆市九龙坡区公路事务中心,Z060302,重庆市九龙坡区公路事务中心,重庆市重庆市九龙坡区高农村11组40号,称重点数,否,,否,正常
127229,中建五局第三建设有限公司（CQ）,Z072499,中建五局—观音桥项目,重庆市重庆市江北区俊豪名居21-7,称重点数,是,,否,正常
156736,中国人民解放军陆军军医大学,Z102504,虎溪校区--内训,重庆市-沙坪坝区-大学城南路富力城时光里对面陆军虎溪校区,称重点数,否,,否,正常
126473,重庆金融街融迈置业有限公司,Z044332,重庆金融街融迈置业有限公司,重庆市重庆市江北区建新东路88号金融街融景中心负一楼食堂重庆市江北区建新东路88号金融街融景中心负一楼食堂,称重点数,是,,否,正常
126473,重庆金融街融迈置业有限公司,Z044332,重庆金融街融迈置业有限公司,重庆市重庆市江北区建新东路88号金融街融景中心负一楼食堂重庆市江北区建新东路88号金融街融景中心负一楼食堂,称重点数,是,,否,正常
213567,重庆市沙坪坝区公共停车管理处,Z085728,重庆市沙坪坝区公共停车管理处,重庆市重庆市沙坪坝区沙坪坝区沙杨路3重庆市沙坪坝区沙南停车场2单元5,称重点数,否,,否,正常
167462,渝北区消防救援支队,Z071228,渝北区消防救援支队-空港新城站点,重庆市重庆市渝北区重庆市渝北区仙桃街道顺义路217号空港新城消防站点,称重点数,否,,否,正常
106898,中信银行股份有限公司重庆分行,Z034552,中信银行-渝北支行（日配）,重庆市重庆市渝北区好莱坞8栋2-1,称重点数,是,,否,正常
251905,招商智翔道路科技（重庆）有限公司,Z091288,招商智翔道路科技（重庆）有限公司,重庆市重庆市南岸区重庆市南岸区X241(长电路),称重点数,否,,否,正常
196560,中国人民解放军联勤保障部队第九〇四医院,Z119201,中国人民解放军联勤保障部队第九〇四医院,重庆市-江津区-光明路江津区支坪镇,称重点数,否,,否,正常
125725,金融街重庆裕隆实业有限公司,Z041818,金融街重庆裕隆实业有限公司,重庆市重庆市沙坪坝区磁器口横街167号附3号（磁器口后街游客服务中心）二期车库入口沙坪坝区磁器口横街167号附3号二期车库入口,称重点数,否,10分钟,否,正常
120108,重庆市南岸区市场监督管理局,Z024312,重庆市南岸区市场监督管理局（日配）,重庆市重庆市南岸区南岸区市场监督管理局,称重点数,否,,否,正常
234349,重庆依星酒店管理有限公司,Z073005,依星酒店-客餐,重庆市重庆市渝北区渝北区舟济路,称重点数,否,,否,正常
179820,重庆市南岸区贝立方幼儿园,Z088295,重庆市南岸区贝立方幼儿园,重庆市重庆市南岸区重庆南岸区贝立方幼儿园重庆南岸茶园新区水云路城南家园八组团贝立方幼儿园,称重点数,否,,否,正常
159421,重庆市渝中区机关事务服务中心,Z100202,重庆市渝中区机关事务服务中心（奶）,重庆市-渝中区-和平路管家巷9号,称重点数,是,,否,正常
130465,重庆中法供水有限公司,Z083869,悦来食堂,重庆市重庆市渝北区中法供水后保安亭,称重点数,否,,否,正常
127333,重庆中国三峡博物馆,Z047141,重庆中国三峡博物馆-丹回路,重庆市重庆市南岸区丹回路1号,称重点数,否,,否,正常
252513,中国人民解放军32614部队,Z092498,252513-永川站点,重庆市重庆市永川区重庆市永川区双石镇大涧口大向餐馆重庆市永川区双石镇大涧口八矛田村88号山下,称重点数,否,,否,正常
105639,重庆市渝北区启诚巴蜀小学校,Z101550,重庆市渝北区启诚巴蜀小学_2,重庆市重庆市渝北区启诚巴蜀小学重庆市渝北区悦城路53-29号启诚巴蜀小学西门,称重点数,否,1小时,否,正常
117112,重庆九龙坡区铝都实验幼儿园,Z014005,重庆九龙坡区铝都实验幼儿园,重庆市重庆市九龙坡区西彭镇三村铝都实验幼儿园,称重点数,否,,否,正常
106898,中信银行股份有限公司重庆分行,Z085085,中信银行--观音桥支行（日配）,重庆市重庆市江北区重庆市江北区李家坪立交,称重点数,是,,否,正常
111960,重庆两江新区天宫殿嘉欣幼儿园,Z004453,两江天宫殿嘉欣幼儿园-学生,重庆市重庆市渝北区天宫殿派出所东湖张15308395462(每周交替),称重点数,是,,否,正常
111960,重庆两江新区天宫殿嘉欣幼儿园,111960,两江天宫殿嘉欣幼儿园-老师,重庆市重庆市渝北区天宫殿派出所东湖张15308395462(每周交替),称重点数,是,,否,正常
175618,重庆市渝北区道路运输事务中心工会委员会,Z103491,重庆市渝北区道路运输事务中心工会委员会,重庆市-渝北区-高岩路112号重庆市渝北区高岩路112号,称重点数,是,,否,正常
111942,重庆两江新区人和嘉欣幼儿园,Z004452,两江人和嘉欣幼儿园-学生,重庆市重庆市渝北区人和加新花园1区,称重点数,是,,否,正常
111942,重庆两江新区人和嘉欣幼儿园,111942,两江人和嘉欣幼儿园-老师,重庆市重庆市渝北区人和加新花园1区,称重点数,是,,否,正常
106898,中信银行股份有限公司重庆分行,Z085097,中信银行-大坪支行（日配）,重庆市重庆市渝中区龙湖大时代23号楼11-1龙湖大时代23号楼11-1,称重点数,否,,否,正常
107058,厦门银行股份有限公司重庆分行,107058,厦门银行股份有限公司重庆分行,重庆市重庆市江北区重庆市江北区金沙门路,称重点数,是,,否,正常
187520,重庆两江新区华师中旭学校,Z068674,重庆两江新区华师中旭学校,重庆市重庆市渝北区重庆市渝北区两江新区嵩山北路702号华师重庆市-渝北区-两江新区嵩山北路,称重点数,否,,否,正常
119840,重庆熙街购物中心管理有限公司,Z025311,重庆熙街购物中心管理有限公司,重庆市重庆市沙坪坝区美丽熙街-28号楼,称重点数,否,,否,正常
122571,重庆市港航海事事务中心,Z035063,重庆市港航海事事务中心,重庆市重庆市江北区重庆市港航管理局19楼,称重点数,是,,否,正常
122571,重庆市港航海事事务中心,Z035063,重庆市港航海事事务中心,重庆市重庆市江北区重庆市港航管理局19楼,称重点数,是,,否,正常
