销售订单,计划发货日期,子客户编码,子客户名称,子客户地址,经纬度,经纬度1,地址code
OM25062700003112,2025-06-30,Z089581,重庆市九龙坡区环境卫生管理处,重庆市重庆市九龙坡区九龙坡区环境卫生重庆市九龙坡区杨渡一村,29.501573,106.515357,47397
OM25062700003369,2025-06-30,Z087658,重庆市江北区复盛镇人民政府,重庆市重庆市江北区复盛镇镇府重庆市,29.652905,106.800921,46106
OM25062700003500,2025-06-30,Z097145,大实幼-教师餐,重庆市重庆市沙坪坝区重庆市沙坪坝区大学城实验幼儿园,29.626253,106.340831,52346
OM25062700003523,2025-06-30,Z087975,国家税务总局重庆市璧山区税务局青杠所,重庆市重庆市璧山区白云大道491号,29.481045,106.244431,42891
OM25062700003666,2025-06-30,106479,重庆三峰卡万塔环境产业有限公司,三峰卡万塔大渡口区八桥镇建桥工业园建桥大道五号,29.454464,106.494448,56126
OM25062700003671,2025-06-30,Z074808,青木关第一幼儿园-教师餐,重庆市重庆市沙坪坝区青木关第一幼儿园青北下街80号,29.681187,106.311379,22924
OM25062700003672,2025-06-30,Z074808,青木关第一幼儿园-教师餐,重庆市重庆市沙坪坝区青木关第一幼儿园青北下街80号,29.681187,106.311379,22924
OM25062700003714,2025-06-30,Z093716,重庆两江新区嘉景湾幼儿园-幼儿餐,重庆市重庆市渝北区重庆市渝北区金海大道998号,29.702462,106.488323,49851
OM25062700003763,2025-06-30,Z089562,重庆人文艺术职业学校,重庆市重庆市巴南区重庆人文艺术职业学校重庆市巴南区南泉街道虎啸村,29.423402,106.595651,47360
OM25062700003786,2025-06-30,Z075216,重庆市江北区鱼嘴镇人民政府,重庆市重庆市江北区鱼嘴镇镇府,29.628511,106.767814,34259
OM25062700003827,2025-06-30,Z033050,重庆横河川仪有限公司,重庆市重庆市北碚区重庆市北碚区鼎新大道,29.667897,106.43982,48289
OM25062700003840,2025-06-30,Z100936,沙坪坝区公园管理中心,重庆市-沙坪坝区-解放坡1-1号平顶山公园,29.554136,106.478925,55591
OM25062700003851,2025-06-30,Z101207,沙坪坝区公园管理中心-沙坪公园,重庆市-沙坪坝区-解放坡1-1号平顶山公园,29.554136,106.478925,55591
OM25062700003857,2025-06-30,Z033050,重庆横河川仪有限公司,重庆市重庆市北碚区重庆市北碚区鼎新大道,29.667897,106.43982,48289
OM25062700003872,2025-06-30,109786,重庆市教育科学研究院,重庆市重庆市渝中区重庆市教育科学研究院,29.560878,106.549354,24462
OM25062700003916,2025-06-30,Z063486,长江重庆航道工程局,重庆市-渝中区-长江滨江路111号航道工程局,29.56081,106.591757,55941
OM25062700004040,2025-06-30,Z087663,保税港港欣8号餐厅—果园西区,重庆市重庆市江北区中华人民共和国重庆海关港重庆市江北区港埠路与隆港路交叉口正西方向85米,29.609495,106.744944,46107
OM25062700004045,2025-06-30,Z007477,考试中心（考试考核基地水果）,重庆市重庆市渝北区安全生产考试,29.602091,106.508461,25815
OM25062700004072,2025-06-30,Z090546,重庆两江新区水土高新技术产业园建设投资有限公司,重庆市重庆市北碚区水土高新技术产业园建设投资有限公司8楼,29.807428,106.535587,48004
OM25062700004395,2025-06-30,Z084510,国家税务总局重庆市税务局第五稽查局,重庆市重庆市南岸区第五稽查局南岸区通江大道209号（四号岗右转到4楼食堂）,29.48559,106.645811,43865
OM25062700004669,2025-06-30,200351,耐德-龙兴,重庆市重庆市渝北区耐德龙兴重庆是渝北区龙兴堡云路5号,29.681089,106.772502,25275
OM25062700004711,2025-06-30,Z085092,中信银行股份有限公司重庆渝中支行（日配）,重庆市重庆市渝中区合景聚融广场一单元27-7,29.560173,106.580104,52157
OM25062700004784,2025-06-30,Z012277,重庆市九龙坡区人民政府中梁山街道办事处,重庆市重庆市九龙坡区重庆市九龙坡区中梁山正街301号（导航中梁山街道办事处）重庆市九龙坡区中梁山正街301号（导航中梁山街道办事处）,29.46597,106.450784,23849
OM25062700004812,2025-06-30,Z077064,重庆市环境卫生事务中心,重庆市重庆市渝北区环境卫生事务中心渝北区-红石支路29号(花卉园地铁站2C口步行490米）,29.585954,106.51557,35267
OM25062700004886,2025-06-30,108293,重庆市北碚区天生幼儿园,天生幼儿园,29.833109,106.44339,59073
OM25062700004913,2025-06-30,Z087643,重庆凯源石油天然气有限责任公司,凯源燃气鸳鸯服务厅凯源燃气,29.664372,106.565222,56014
OM25062700004921,2025-06-30,Z099664,重庆三峰卡万塔环境产业有限公司三,三峰卡万塔大渡口区八桥镇建桥工业园建桥大道五号,29.454464,106.494448,56126
OM25062700005018,2025-06-30,Z091841,重庆清电新能源开发有限公司,重庆市重庆市渝北区清电新能源,29.615086,106.509122,48830
OM25062700005094,2025-06-30,Z007475,考试中心（考试考核基地菜）,重庆市重庆市渝北区安全生产考试,29.602091,106.508461,25815
OM25062700005097,2025-06-30,Z007476,考试中心（考试考核基地肉）,重庆市重庆市渝北区安全生产考试,29.602091,106.508461,25815
OM25062700005109,2025-06-30,106900,中国石油集团川庆钻探工程有限公司重庆运输总公司,重庆市重庆市渝北区红石支路299号中国石油川庆钻探工程有限公司重庆运输总公司,29.582631,106.514249,6385
OM25062700005129,2025-06-30,Z007479,考试中心（考试考核基地干副）,重庆市重庆市渝北区安全生产考试,29.602091,106.508461,25815
OM25062700005136,2025-06-30,Z090546,重庆两江新区水土高新技术产业园建设投资有限公司,重庆市重庆市北碚区水土高新技术产业园建设投资有限公司8楼,29.807428,106.535587,48004
OM25062700005370,2025-06-30,Z101204,回兴路食堂,重庆市-渝北区-宝桐路32号,29.688502,106.6134,55709
OM25062700005388,2025-06-30,Z101204,回兴路食堂,重庆市-渝北区-宝桐路32号,29.688502,106.6134,55709
OM25062700005495,2025-06-30,Z057841,重庆市人口和计划生育科学技术研究院附属医院,重庆市重庆市江北区江北区红黄路18号计生医院食堂,29.590335,106.537811,600
OM25062700005588,2025-06-30,Z097250,重庆市沙坪坝区阳光家园第一幼儿园_教师,重庆市沙坪坝区阳光家园第一幼儿园,29.650345,106.453638,58818
OM25062700005693,2025-06-30,200353,耐德-界石,重庆市重庆市巴南区巴南区界石镇石佛路8号,29.398649,106.626114,45768
OM25062700005716,2025-06-30,Z092710,重庆浩航船务有限公司,重庆市重庆市江北区浩航江北区金源路7号B区24楼,29.565588,106.533997,49520
OM25062700005725,2025-06-30,Z085080,中信银行-金州支行（日配）,重庆市重庆市渝北区力帆红星紫郡1栋20-4,29.650122,106.551843,6435
OM25062700005767,2025-06-30,Z085057,中信银行-南坪支行(日配）,重庆市重庆市南岸区南岸区学府大道2号重庆市重庆市南岸区南岸区学府大道2号江南国际新城6幢5-7,29.520627,106.581698,44143
OM25062700005771,2025-06-30,Z103442,重庆市人民检察院第五分院,重庆市-渝中区-经纬大道488号,29.550783,106.52288,56970
OM25062700005893,2025-06-30,Z072636,重庆市九龙坡区文化馆,重庆市重庆市九龙坡区重庆市九龙坡区西郊支路19号,29.511351,106.512547,32149
OM25062700005940,2025-06-30,Z072506,重庆一中-幼儿园,重庆市重庆市沙坪坝区重庆市沙坪坝区汉渝路17-5号,29.564749,106.473207,34296
OM25062700005966,2025-06-30,Z093833,重庆瑜煌电力设备制造有限公司-干副,重庆市-北碚区-凤西路6号瑜煌电力设备制造有限公司,29.771363,106.481465,58094
OM25062700005980,2025-06-30,Z093834,重庆瑜煌电力设备制造有限公司-蔬菜,重庆市-北碚区-凤西路6号瑜煌电力设备制造有限公司,29.771363,106.481465,58094
OM25062700006006,2025-06-30,Z093836,重庆顺泰铁塔制造有限公司-蔬菜,重庆市重庆市江北区重庆市江北区S101(海尔路),29.612773,106.641637,42668
OM25062700006017,2025-06-30,106516,重庆农村商业银行股份有限公司南岸支行,重庆市重庆市南岸区重庆市南岸区白鹤路76-11号,29.52491,106.549381,50503
OM25062700006102,2025-06-30,Z083410,新大正物业集团股份有限公司-奶制品,重庆市渝中区中山三路128-、130号,29.562133,106.55654,58890
OM25062700006255,2025-06-30,Z011499,安诚财产保险股份有限公司-2楼,重庆市重庆市江北区江北嘴金融城-2号T2,29.580888,106.57571,15857
OM25062700006266,2025-06-30,Z011499,安诚财产保险股份有限公司-2楼,重庆市重庆市江北区江北嘴金融城-2号T2,29.580888,106.57571,15857
OM25062700006267,2025-06-30,Z011499,安诚财产保险股份有限公司-2楼,重庆市重庆市江北区江北嘴金融城-2号T2,29.580888,106.57571,15857
OM25062700006268,2025-06-30,Z011499,安诚财产保险股份有限公司-2楼,重庆市重庆市江北区江北嘴金融城-2号T2,29.580888,106.57571,15857
OM25062700006269,2025-06-30,Z011499,安诚财产保险股份有限公司-2楼,重庆市重庆市江北区江北嘴金融城-2号T2,29.580888,106.57571,15857
OM25062700006270,2025-06-30,Z011499,安诚财产保险股份有限公司-2楼,重庆市重庆市江北区江北嘴金融城-2号T2,29.580888,106.57571,15857
OM25062700006271,2025-06-30,Z011499,安诚财产保险股份有限公司-2楼,重庆市重庆市江北区江北嘴金融城-2号T2,29.580888,106.57571,15857
OM25062700006279,2025-06-30,107058,厦门银行股份有限公司重庆分行,重庆市重庆市江北区重庆市江北区金沙门路,29.577264,106.575313,33593
OM25062700006304,2025-06-30,Z011499,安诚财产保险股份有限公司-2楼,重庆市重庆市江北区江北嘴金融城-2号T2,29.580888,106.57571,15857
OM25062700006409,2025-06-30,Z000614,中信银行股份有限公司重庆分行（日配）,重庆市重庆市江北区中信银行股份有限公司重庆分行江北嘴西大街5号B1楼,29.578312,106.577057,26180
OM25062700006431,2025-06-30,Z000614,中信银行股份有限公司重庆分行（日配）,重庆市重庆市江北区中信银行股份有限公司重庆分行江北嘴西大街5号B1楼,29.578312,106.577057,26180
OM25062700006442,2025-06-30,Z000614,中信银行股份有限公司重庆分行（日配）,重庆市重庆市江北区中信银行股份有限公司重庆分行江北嘴西大街5号B1楼,29.578312,106.577057,26180
OM25062700006451,2025-06-30,Z103637,重庆市九龙坡区金凤镇人民政府,重庆市-九龙坡区-凤苑路14号附3号1至3层,29.525253,106.324981,57066
OM25062700006452,2025-06-30,Z085629,一号楼,重庆市重庆市巴南区巴南区规划,29.416135,106.54485,44443
OM25062700006456,2025-06-30,Z009441,两江新区北大资源凯思幼儿园-学生,重庆市重庆市渝北区北大资源凯思幼儿园,29.657252,106.538812,44246
OM25062700006533,2025-06-30,Z009440,两江新区北大资源凯思幼儿园-老师,重庆市重庆市渝北区北大资源凯思幼儿园,29.657252,106.538812,44246
OM25062700006537,2025-06-30,Z085629,一号楼,重庆市重庆市巴南区巴南区规划,29.416135,106.54485,44443
OM25062700006545,2025-06-30,Z009440,两江新区北大资源凯思幼儿园-老师,重庆市重庆市渝北区北大资源凯思幼儿园,29.657252,106.538812,44246
OM25062700006547,2025-06-30,Z063067,渝中区红岩幼儿园-老师,重庆市重庆市渝中区渝中区千厮门行街15号重庆市渝中区千厮门行街15号,29.568028,106.590121,24887
OM25062700006552,2025-06-30,103945,重庆两江新区楠苑康复护理院有限公司,重庆市重庆市渝北区楠苑护理院,29.628072,106.487157,23851
OM25062700006558,2025-06-30,Z091831,教师食材,重庆市重庆市渝中区重庆市渝中区长江二路147号长江二路147号,29.541083,106.524603,47704
OM25062700006559,2025-06-30,Z091830,幼儿食材,重庆市重庆市渝中区重庆市渝中区长江二路147号长江二路147号,29.541083,106.524603,47704
OM25062700006582,2025-06-30,Z097261,佳华-老师,重庆市重庆市渝北区佳华幼儿园渝北区龙塔街道紫荆路社区156号,29.599319,106.539246,52369
OM25062700006594,2025-06-30,Z096790,大足电网—机关食堂,重庆市重庆市大足区大足区棠香街道五星大道中段71号国家电网大足供电公司,29.70041,105.738583,52198
OM25062700006627,2025-06-30,Z010535,浙商银行股份有限公司重庆分行,浙商银行信达国际C栋3楼（从负一楼车库进去）,29.619746,106.496322,56129
OM25062700006632,2025-06-30,Z014215,重庆市巴南区土地整治储备中心,重庆市重庆市巴南区龙德路77号6栋18楼,29.415515,106.54746,17016
OM25062700006656,2025-06-30,Z077796,重庆水务环境控股集团有限公司,重庆市重庆市渝中区渝中区虎踞路80号重庆总部城A区11栋渝中区虎踞路80号重庆总部城A区,29.554275,106.505464,35752
OM25062700006657,2025-06-30,Z077796,重庆水务环境控股集团有限公司,重庆市重庆市渝中区渝中区虎踞路80号重庆总部城A区11栋渝中区虎踞路80号重庆总部城A区,29.554275,106.505464,35752
OM25062700006660,2025-06-30,Z073824,西南大学-南区幼儿,重庆市重庆市北碚区西南大学实验幼儿园南区,29.816815,106.424981,33235
OM25062700006663,2025-06-30,Z073826,西南大学-北区幼儿,重庆市重庆市北碚区西南大学实验幼儿园西南大学5号门进去,29.834768,106.437744,33236
OM25062700006667,2025-06-30,Z096791,大足电网—城区食堂,重庆市重庆市大足区大足区环西路100号大足区国家电网汽车充电站,29.703558,105.70941,52200
OM25062700006676,2025-06-30,Z078247,西南医院幼儿园,沙坪坝区西南医院幼儿园,29.540679,106.453589,56147
OM25062700006690,2025-06-30,Z010535,浙商银行股份有限公司重庆分行,浙商银行信达国际C栋3楼（从负一楼车库进去）,29.619746,106.496322,56129
OM25062700006694,2025-06-30,Z078247,西南医院幼儿园,沙坪坝区西南医院幼儿园,29.540679,106.453589,56147
OM25062700006768,2025-06-30,110866,重庆市北碚区住房和城乡建设委员会,重庆市重庆市北碚区北碚城乡建设委员会定位对面就是食堂送到3楼,29.811194,106.412223,24392
OM25062700006781,2025-06-30,Z102432,重庆颐天康养产业发展有限公司,重庆市-渝中区-中山三128号、130号投资大厦车库电梯到负一楼颐天康养食堂,29.562989,106.556505,56131
OM25062700006783,2025-06-30,Z090782,巴南不动产登记中心-干副粮油,重庆市重庆市巴南区重庆市巴南区龙洲大道,29.425925,106.543865,43523
OM25062700006785,2025-06-30,107749,重庆市巴南不动产登记中心,重庆市重庆市巴南区重庆市巴南区龙洲大道,29.425925,106.543865,43523
OM25062700006788,2025-06-30,Z062050,重庆市渝北区人民政府人和街道办事处,重庆市重庆市渝北区人和街道办事处,29.633111,106.543666,22911
OM25062700006803,2025-06-30,Z007556,重庆百事天府饮料有限公司,重庆市重庆市渝北区重庆百事天府饮料有限公司,29.665203,106.609572,16719
OM25062700007031,2025-06-30,Z093835,重庆顺泰铁塔制造有限公司-干副,重庆市重庆市江北区重庆市江北区S101(海尔路),29.612773,106.641637,42668
OM25062700007061,2025-06-30,Z083409,新大正物业集团股份有限公司-肉类,重庆市渝中区中山三路128-、130号,29.562133,106.55654,58890
OM25062700007065,2025-06-30,Z087651,中电建重庆勘测设计研究院有限公司,重庆市重庆市渝北区渝北区财富大道3号财富汇10楼5号,29.616736,106.516845,46098
OM25062700007073,2025-06-30,Z083406,新大正物业集团股份有限公司-干副,重庆市渝中区中山三路128-、130号,29.562133,106.55654,58890
OM25062700007091,2025-06-30,Z083407,新大正物业股份有限公司-蔬菜,重庆市渝中区中山三路128-、130号,29.562133,106.55654,58890
OM25062700007150,2025-06-30,Z032457,重庆澋悦房地产开发有限公司,重庆市重庆市渝中区重庆市渝中区化龙桥正街211,29.557101,106.520006,43454
OM25062700007159,2025-06-30,Z050197,重庆科学城城市建设集团有限公司,重庆市重庆市九龙坡区青竹路高新ONE,29.523768,106.350857,23597
OM25062700007235,2025-06-30,Z012277,重庆市九龙坡区人民政府中梁山街道办事处,重庆市重庆市九龙坡区重庆市九龙坡区中梁山正街301号（导航中梁山街道办事处）重庆市九龙坡区中梁山正街301号（导航中梁山街道办事处）,29.46597,106.450784,23849
OM25062700007262,2025-06-30,Z087649,国家税务总局重庆两江新区税务局,重庆市重庆市渝北区两江税务,29.654847,106.564296,46111
OM25062700007278,2025-06-30,Z011499,安诚财产保险股份有限公司-2楼,重庆市重庆市江北区江北嘴金融城-2号T2,29.580888,106.57571,15857
OM25062700007279,2025-06-30,Z011499,安诚财产保险股份有限公司-2楼,重庆市重庆市江北区江北嘴金融城-2号T2,29.580888,106.57571,15857
OM25062700007280,2025-06-30,Z011499,安诚财产保险股份有限公司-2楼,重庆市重庆市江北区江北嘴金融城-2号T2,29.580888,106.57571,15857
OM25062700007281,2025-06-30,Z011499,安诚财产保险股份有限公司-2楼,重庆市重庆市江北区江北嘴金融城-2号T2,29.580888,106.57571,15857
OM25062700007290,2025-06-30,Z011499,安诚财产保险股份有限公司-2楼,重庆市重庆市江北区江北嘴金融城-2号T2,29.580888,106.57571,15857
OM25062700007306,2025-06-30,Z016899,中铁建生态环境有限公司-早餐,中铁建生态环境有限公司,29.80278,106.402117,55036
OM25062700007383,2025-06-30,Z000614,中信银行股份有限公司重庆分行（日配）,重庆市重庆市江北区中信银行股份有限公司重庆分行江北嘴西大街5号B1楼,29.578312,106.577057,26180
OM25062700007388,2025-06-30,Z000614,中信银行股份有限公司重庆分行（日配）,重庆市重庆市江北区中信银行股份有限公司重庆分行江北嘴西大街5号B1楼,29.578312,106.577057,26180
OM25062700007409,2025-06-30,Z080483,中国铁路成都局集团有限公司重庆建设指挥部,重庆市重庆市沙坪坝区青秀阅山8栋6楼，导航青秀阅山8栋,29.518068,106.448115,43140
OM25062700007434,2025-06-30,Z100105,重庆市渝北区体育事业发展中心,重庆市-渝北区-秋成大道与兰桂大道交叉口全民健身中心内,29.723521,106.575232,54822
OM25062700007492,2025-06-30,106824,重庆市巴南区人民政府惠民街道办事处,重庆市重庆市巴南区重庆市巴南区惠西路176号,29.464225,106.714731,54725
OM25062700007584,2025-06-30,Z063067,渝中区红岩幼儿园-老师,重庆市重庆市渝中区渝中区千厮门行街15号重庆市渝中区千厮门行街15号,29.568028,106.590121,24887
OM25062700007600,2025-06-30,Z091832,聘用教师食材,重庆市重庆市渝中区重庆市渝中区长江二路147号长江二路147号,29.541083,106.524603,47704
OM25062700007624,2025-06-30,Z016764,中国邮政集团有限公司重庆市江北区分公司,重庆市重庆市江北区中国邮政集团有限公司重庆市江北区分公司,29.585873,106.548418,19267
OM25062700007627,2025-06-30,Z097262,佳华-学生,重庆市重庆市渝北区佳华幼儿园渝北区龙塔街道紫荆路社区156号,29.599319,106.539246,52369
OM25062700007637,2025-06-30,Z014006,重庆九龙坡区铝都实验幼儿园大石堡分园,重庆市重庆市九龙坡区西彭镇铝城正街2号铝都实验幼儿园(大石堡分园),29.309595,106.333469,16225
OM25062700007669,2025-06-30,Z010535,浙商银行股份有限公司重庆分行,浙商银行信达国际C栋3楼（从负一楼车库进去）,29.619746,106.496322,56129
OM25062700007678,2025-06-30,Z010535,浙商银行股份有限公司重庆分行,浙商银行信达国际C栋3楼（从负一楼车库进去）,29.619746,106.496322,56129
OM25062700007680,2025-06-30,Z054113,长江重庆航道局,重庆市重庆市渝北区长江重庆航道局机关事务服务中心渝北区星辰路76号,29.609008,106.533262,26187
OM25062700007689,2025-06-30,Z010535,浙商银行股份有限公司重庆分行,浙商银行信达国际C栋3楼（从负一楼车库进去）,29.619746,106.496322,56129
OM25062700007696,2025-06-30,Z096910,大足电网—运检食堂,重庆市重庆市大足区大足区索性酒店旁大足电网云检电力公司,29.697112,105.742796,52299
OM25062700007700,2025-06-30,Z077796,重庆水务环境控股集团有限公司,重庆市重庆市渝中区渝中区虎踞路80号重庆总部城A区11栋渝中区虎踞路80号重庆总部城A区,29.554275,106.505464,35752
OM25062700007703,2025-06-30,Z078247,西南医院幼儿园,沙坪坝区西南医院幼儿园,29.540679,106.453589,56147
OM25062700007710,2025-06-30,105480,中国石油天然气股份有限公司西南化工销售重庆仓储中心,重庆市重庆市沙坪坝区中国石油西南化工销售重庆分公司,29.653095,106.396445,22326
OM25062700007719,2025-06-30,Z073825,西南大学-南区老师,重庆市重庆市北碚区西南大学实验幼儿园南区,29.816815,106.424981,33235
OM25062700007722,2025-06-30,Z073827,西南大学-北区老师,重庆市重庆市北碚区西南大学实验幼儿园西南大学5号门进去,29.834768,106.437744,33236
OM25062700007750,2025-06-30,Z088811,重庆市江北区人民政府石马河街道办事处,重庆市重庆市江北区江北区-余溪南路82号附25号3楼食堂,29.601242,106.48994,48022
OM25062700007768,2025-06-30,Z035134,重庆两江新区爱德蒙幼儿园-学生,湖云路12号爱德蒙幼儿园,29.661082,106.583517,58883
OM25062700007769,2025-06-30,Z088811,重庆市江北区人民政府石马河街道办事处,重庆市重庆市江北区江北区-余溪南路82号附25号3楼食堂,29.601242,106.48994,48022
OM25062700007794,2025-06-30,110866,重庆市北碚区住房和城乡建设委员会,重庆市重庆市北碚区北碚城乡建设委员会定位对面就是食堂送到3楼,29.811194,106.412223,24392
OM25062700007802,2025-06-30,Z086707,重庆市人口与家庭发展研究中心,重庆市重庆市渝北区重庆市人口与发展研究中心2楼食堂（平层）,29.657856,106.609065,40590
OM25062700007827,2025-06-30,106459,重庆智飞生物制品股份有限公司,国金中心L1  51楼,29.583062,106.578811,55520
OM25062800000052,2025-06-30,Z100128,重庆青凤科技发展有限公司,重庆市-沙坪坝区-凤集路与海博大道交口西北侧重庆市沙坪坝区凤集路与海博大道交叉口西北方向181米,29.715338,106.33835,54897
OM25062800000098,2025-06-30,Z063806,中机中联-中机建筑大厦,重庆市重庆市九龙坡区石桥铺中机建设科技大厦九龙坡长新路,29.548044,106.498158,25953
OM25062800000103,2025-06-30,Z064682,春田幼儿园-老师,沙坪坝区春田幼儿园重庆市沙坪坝区土湾新生村12号（沙坪坝区春田幼儿园）,29.561045,106.48455,57028
OM25062800000105,2025-06-30,Z064660,重庆市沙坪坝区春田幼儿园,沙坪坝区春田幼儿园重庆市沙坪坝区土湾新生村12号（沙坪坝区春田幼儿园）,29.561045,106.48455,57028
OM25062800000138,2025-06-30,Z086708,重庆市人口与家庭发展研究中心-耗材,重庆市重庆市渝北区重庆市人口与发展研究中心2楼食堂（平层）,29.657856,106.609065,40590
OM25062800000551,2025-06-30,Z100159,重庆一中一食堂-小卖部,重庆市沙坪坝区汉渝路17-5号,29.565228,106.472794,55019
